geoid,residential_landuse,commercial_landuse,industrial_landuse,retail_landuse,natural_landuse,road_residential,road_primary,road_other,transport_point,transport_area,food_point,food_area,health_point,health_area,education_point,education_area,retail_point,retail_area,total_population
36103122707,1.6412108222363104,0.0,0.698880018793038,0.0611020738771588,0.0,21.943176007154545,2.77972467775538,4.129547578195525,0,0.0052384504897608,3,0.0016506787482076,0,0.0,0,0.0,13,0.0,3113
36103122801,2.843966446022487,0.0,3.4818619176453347,1.1510101372747197,0.0,37.34703692582205,2.583987664084588,6.3970391708929455,1,0.2977528555170394,6,0.0025740406693327,0,0.0,0,0.0,110,0.0,5894
36103122802,2.213585459521723,0.0,0.0105502885655828,0.0,0.0,20.37020643189124,3.2266519408664047,3.429593176456274,0,0.0,0,0.0,0,0.0,1,0.0652788165404158,1,0.0,4847
36103158711,1.947161489141093,0.0,0.0,0.0,0.0,36.31387229762685,4.433556194186751,9.55331198983906,0,0.0150706909152864,0,0.0,1,0.0020765413967332,0,0.0,4,0.0,5736
36103146800,4.074273565543405,0.0,0.0,0.0573372060461228,0.0,34.40109028165128,1.5169624293067905,6.865192654099362,0,0.0,2,0.0,1,0.0,2,0.0442882965606598,8,0.0,5783
36103123801,1.087058960333103,0.0,0.0,0.0,0.0,30.02031597350278,0.3284789831852071,0.0,0,0.040624458862607,0,0.0,0,0.0,0,0.0,1,0.0,4058
36103124401,0.5837670662007455,0.0,0.0263820504364398,0.6907332540857165,0.0,17.11842397264737,1.5033489996066751,4.811339541523815,0,0.0078118849711433,0,0.0,3,0.0288809354486336,2,0.1184809699106773,3,0.0,3929
36103122706,2.3075115671200472,0.0,0.0,0.0,0.0,22.262562186653533,1.2231756662691975,3.8695342174125735,0,0.0026922124218392,1,0.0,0,0.0,0,0.0,3,0.0,4285
36103111803,3.213024369902656,0.0,0.0,0.0,0.0,20.39291282010831,0.0,4.42592132319849,0,0.0088070060053865,0,0.0,0,0.0,1,0.0833386980499364,0,0.0,2723
36103122405,2.3533052202463205,0.0,0.0,0.0,0.0,21.38781114685176,0.0,4.57444366281531,0,0.0026392386494048,0,0.0,0,0.0,1,0.0607519725924244,0,0.0,3507
36103158001,12.178547443203092,0.0,0.0,0.0,0.0,55.91374380921281,0.9059388917249268,12.736808039765895,0,0.0118163420144826,1,0.0003564789687702,0,0.0,0,0.0,1,0.0,3795
36103123001,5.562962771671298,0.0,0.0,0.0,0.0,36.935046733675854,0.0,6.3053025730000725,0,0.0,1,0.0,0,0.0,1,0.0681759113843896,0,0.0,5894
36103122901,5.712576260597213,0.0,0.0,0.0,0.0,38.230947745241565,0.2738189089917229,3.0746663629949014,0,0.0004253107897795,0,0.0,0,0.0,1,0.0512833307910397,1,0.0,5905
36103123002,4.057068891280294,0.0,0.3014094175496087,0.0,0.0,32.841259542147746,0.0,7.9904272355455825,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,4900
36103122902,3.8216788460870914,0.0,0.0,0.0,0.0,20.429498972017303,2.187279991415092,5.130890197973874,0,0.0090716113178904,1,0.0,0,0.0,2,0.1095844040901778,10,0.0,4562
36103123101,2.8242436673031146,0.0,0.0,0.0,0.0,21.88886161013397,1.3312931487496988,7.524962373817748,0,0.0208854253303,0,0.0,0,0.0,4,0.4181575480165623,0,0.0,3659
36103123102,2.220427488060251,0.0,0.0,0.0,0.0,23.09323078505459,3.0053237784919804,2.9542844422495693,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,3972
36103123201,0.8239815170466664,0.0,2.634946985905796,0.0,0.0,24.837359166020367,7.687303310369996,1.1782925874066463,0,0.0053658185613385,0,0.0,0,0.0,1,0.0873012055281755,2,0.0,2306
36103146703,2.961861984371083,0.0,0.1089103638597206,0.0,0.0,18.946271807567364,0.0,5.051792837800674,0,0.0,0,0.0,0,0.0,1,0.1025481574976013,0,0.0,4268
