geoid,commercial_landuse,food_point,food_poly,health_point,health_poly,industrial_landuse,main_road_line,natural_landuse,other_road_line,residential_landuse,residential_line,retail_landuse,retail_point,retail_poly,school_point,school_poly,transport_point,transport_poly,total_population
36019101600,2.567293614503179e-11,10.0,8.0,0.0,1.0,1.1630992547502898e-10,9.978710528198287e-08,1.6425750499886097e-13,1.2824799142271488e-07,2.2392255802498024e-10,2.162833113463027e-07,1.8339329984498448e-10,6.0,1.0,0.0,3.0,0.0,0.0,1623
36085029105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.961509695004446e-11,1.7088918583980688e-07,4.12659089995821e-13,1.0536098924925392e-07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4257
36081074900,0.0,0.0,0.0,0.0,0.0,0.0,4.675800366344541e-09,0.0,2.9614587334494924e-08,0.0,1.3938326787748266e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563
36029017100,0.0,11.0,3.0,1.0,0.0,0.0,3.269402339032401e-08,0.0,1.5952753154525958e-07,4.851582244998455e-12,1.047732199375738e-07,0.0,6.0,3.0,0.0,1.0,0.0,0.0,5394
36065021701,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9.839910842444317e-08,0.0,2.1544943873218765e-07,0.0,0.0,0.0,4.0,1.0,0.0,1.0,3205
36067014500,0.0,4.0,6.0,0.0,1.0,4.960373053001349e-11,3.541934670449045e-07,1.2271431649932094e-12,7.515898488765808e-07,0.0,3.426514328849283e-07,0.0,2.0,3.0,0.0,1.0,0.0,0.0,3974
36047069200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.899104079682895e-08,6.3842958250028586e-12,5.69406329972734e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2512
36103158111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1941551199930738e-12,7.449725019660163e-08,0.0,1.3672635786155726e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3087
36029013702,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,6.399534828758557e-07,0.0,3.298293166677517e-07,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5947
36047109800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150042789996172e-07,0.0,1.3278971983722473e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2290
36023970201,0.0,3.0,0.0,0.0,0.0,8.385780700010818e-12,1.7152249404931805e-07,0.0,9.722530401961778e-07,7.117575519999839e-12,9.301932256186616e-07,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2434
36109000900,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.835918677147308e-07,0.0,4.206705021224815e-07,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4201
36081103202,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0087844561904e-08,0.0,2.0592415610377905e-07,0.0,0.0,0.0,1.0,4.0,0.0,0.0,6860
