origin,destination,demographic_o,demographic_d,population_o,population_d,flow
53033990100,53033009300,,0.6199,0,3095,0.0
53033990100,53033021903,,0.5848,0,6409,0.0
53073000700,53057990100,0.6371,,7460,0,94.0
