geoid_o,geoid_d,pop_flows
36119008700,36119009100,66.0
36119008000,36119009100,19.0
36119008602,36119008700,245.0
36119009500,36119011902,22.0
36061018600,36119009400,23.0
36119008901,36119000701,24.0
36119009400,36119009000,249.0
36119010804,36087011000,23.0
36071011802,36119009400,13.0
36119008901,36119010701,24.0
36119008200,36119010600,20.0
36119004900,36119010803,64.0
36089491400,36073040801,33.0
36083051702,36045061000,22.0
36119008200,36079011900,61.0
36119009000,36119006802,50.0
36029008202,36029990000,14.0
36119008700,36029009115,16.0
36119007200,36119008901,49.0
36119008700,36119012900,16.0
36119010804,36119002104,23.0
36119008200,36119009500,20.0
36119000203,36119009300,28.0
36119009400,36077590800,19.0
36071011500,36119009702,20.0
36119012102,36119010804,16.0
36119009500,36061008400,22.0
36047990100,36047990100,0.0
36021000700,36119985000,19.0
36087010601,36119009500,16.0
36119004600,36119009100,16.0
36119009300,36119010801,39.0
36119010804,36119002202,23.0
36027140700,36119009500,17.0
36119008700,36005021700,16.0
36089491600,36089491600,2017.0
36083052102,36019100600,27.0
36119009500,36061016800,22.0
36119009702,36119009701,176.0
36005038000,36119009000,17.0
36115089000,36115092000,220.0
36081043400,36119009100,39.0
36115090000,36119983000,15.0
36071011802,36119009702,13.0
36119012101,36119009500,36.0
36119010500,36119009300,48.0
36115090000,36091060800,15.0
36083051702,36001000100,22.0
36119005100,36119008901,16.0
36005023200,36119009100,12.0
36115093000,36083051702,54.0
36089491500,36001002100,15.0
36119014500,36119009300,36.0
36119010804,36061006100,23.0
36119009500,36059406501,22.0
36115092000,36001014611,53.0
36087011601,36119009100,15.0
36081061900,36119010803,14.0
36029013701,36119985000,21.0
36119004100,36119009702,49.0
36119009100,36119007402,24.0
36119014000,36119009300,50.0
36119005902,36119009300,69.0
36081010800,36119009300,19.0
36119010804,36061005000,23.0
36119013102,36119010803,18.0
36119014704,36119009300,39.0
36117021000,36029990000,15.0
36119009100,36061006400,24.0
36083052004,36083052102,16.0
36119009702,36119010000,16.0
36119009100,36027060201,24.0
36115090000,36083052003,15.0
36119005800,36119009300,108.0
36119000401,36119009300,15.0
36005026100,36119009300,65.0
36119011700,36119009400,95.0
36029000500,36029990000,15.0
36119011101,36119009100,20.0
36119013500,36119009702,26.0
36087010901,36119009100,37.0
36119009100,36119002105,48.0
36115090000,36091062503,15.0
36119008200,36119014901,40.0
36005039200,36119009400,30.0
36119006500,36119009100,39.0
36047036002,36119009500,18.0
36005019500,36119009702,20.0
36119009500,36119008404,45.0
36115090000,36121970500,15.0
36119009000,36061010900,25.0
36103135003,36119009300,12.0
36119009600,36119009000,113.0
36005025000,36119008901,40.0
36119010702,36119010803,75.0
36005023800,36119010804,14.0
36081003000,36119009702,17.0
36119006700,36119009300,18.0
36083051701,36001014202,16.0
36119009500,36119005100,22.0
36119014907,36119009000,36.0
36083051701,36111952200,16.0
36119001505,36119009300,18.0
36089491300,36089491500,228.0
36083041300,36083051701,40.0
36119010400,36119010804,18.0
36119008700,36081030600,16.0
36005006900,36119008901,19.0
36089491400,36089491400,5170.0
36083051702,36001013503,22.0
36027300000,36119009300,17.0
36119009500,36119009702,522.0
36119009000,36119005800,25.0
36119008200,36027070401,40.0
36119008901,36119010702,49.0
36119009100,36119000701,24.0
36055007500,36029990000,14.0
36059520402,36119010804,19.0
36087011101,36119009100,32.0
36119015000,36119008700,24.0
36081045400,36119009000,15.0
36119013304,36119985000,21.0
36061011000,36119009300,28.0
36119009400,36119010600,19.0
36119009300,36119008602,78.0
36091062100,36083051701,15.0
36119009400,36005031600,19.0
36119009400,36119012600,19.0
36047066600,36047990100,0.0
36115090000,36083051800,15.0
36005039000,36119009702,12.0
36119010903,36119009500,85.0
36119009100,36119006000,24.0
36119007000,36119009500,42.0
36119010200,36119009300,19.0
36039080502,36119009300,16.0
36115092000,36047051100,26.0
36005029301,36119010803,25.0
36119008500,36119009500,14.0
36079011000,36119009702,16.0
36081065000,36119009100,44.0
36119009100,36061008000,24.0
36119008200,36119011200,20.0
36071010200,36119009400,15.0
36103146500,36119009400,12.0
36089491500,36089492100,46.0
36119009702,36005016700,16.0
36119010600,36119009300,55.0
36119008200,36119001505,20.0
36087011101,36119009702,16.0
36081032000,36119009400,13.0
36119010801,36119009300,91.0
36119011800,36119010804,16.0
36119007300,36119008901,20.0
36115086000,36113070200,29.0
36119010903,36119009100,68.0
36119010803,36119001900,24.0
36047061004,36047990100,13.0
36089491400,36089491900,33.0
36119008200,36005004001,20.0
36119014703,36119009000,16.0
36119010803,36005019300,24.0
36119008901,36119010600,24.0
36055014803,36119985000,12.0
36005042800,36119010803,16.0
36119010903,36119009300,222.0
36119010804,36119009702,47.0
36059404400,36119009702,15.0
36119009600,36119008700,37.0
36089491400,36089491600,470.0
36119008700,36119012303,116.0
36119009702,36119009702,2082.0
36119011200,36119009100,169.0
36081028100,36119009000,12.0
36119010804,36061010200,23.0
36119009400,36119010400,19.0
36119002405,36119009400,42.0
36119009400,36081102900,19.0
36103112001,36119009300,19.0
36089491600,36089491500,566.0
36119012503,36119009300,34.0
36119008901,36005034000,24.0
36083052103,36021001000,18.0
36005040400,36119009500,16.0
36005037000,36119985000,19.0
36047015400,36047990100,0.0
36119009400,36119005002,38.0
36119008700,36119001102,16.0
36119010901,36119008901,72.0
36119008700,36119013304,16.0
36079010800,36119985000,15.0
36115089000,36083051701,16.0
36119009900,36119009400,104.0
36119014604,36119009400,56.0
36027040003,36119009400,14.0
36119008901,36119013102,49.0
36119008700,36119010902,83.0
36061018700,36119985000,20.0
36119009100,36119008901,24.0
36119009100,36061009200,97.0
36119009000,36005033400,25.0
36119009400,36119009500,211.0
36119008700,36119008302,100.0
36119009500,36119009100,45.0
36027020004,36119009300,12.0
36119007300,36119009300,61.0
36061027900,36119009300,34.0
36119008700,36061009200,33.0
36119008901,36119009600,99.0
36119005702,36119009500,42.0
36083051701,36083052102,16.0
36119008200,36119007300,20.0
36119010803,36005014900,24.0
36119007300,36119008200,20.0
36119009000,36119010000,25.0
36119009500,36119000702,22.0
36103158705,36119009300,12.0
36119008302,36119985000,47.0
36119004100,36119009400,24.0
36089491800,36089491600,94.0
36089490700,36089491400,19.0
36119008200,36119005902,20.0
36119012400,36119009000,42.0
36103135103,36119009400,12.0
36115090000,36071010101,15.0
36119009400,36061022102,19.0
36119014200,36119009300,20.0
36103135401,36119009400,12.0
36071010400,36119009702,16.0
36119008901,36119008901,3988.0
36119009702,36075021603,16.0
36119009100,36119009500,48.0
36119003000,36119010804,18.0
36087011200,36119010804,14.0
36119001302,36119009702,40.0
36119009100,36119005400,24.0
36061008000,36119009100,24.0
36083052102,36083052002,27.0
36027050203,36119008901,30.0
36061012700,36119009000,25.0
36119012501,36119009000,34.0
36119009100,36119010801,122.0
36115094000,36115092000,20.0
36119000103,36119010803,31.0
36119012900,36119009000,19.0
36119008100,36119985000,66.0
36119009500,36119010901,45.0
36119002600,36119009300,32.0
36089491500,36043010100,15.0
36119010000,36119009702,45.0
36081013400,36119009400,19.0
36047057000,36047990100,15.0
36119009500,36119009800,68.0
36119011800,36119009100,16.0
36071010300,36029990000,8.0
36005029302,36119009400,27.0
36081016800,36119009300,14.0
36119011902,36119008901,17.0
36119008901,36119004100,24.0
36119014100,36119009300,65.0
36119008901,36119011902,173.0
36083051701,36083041200,16.0
36081029400,36119009300,14.0
36119009400,36119008901,153.0
36119009500,36119010701,22.0
36119002104,36119009100,103.0
36119008700,36007001200,16.0
36115090000,36001013200,31.0
36081111300,36119009300,19.0
36061023900,36119009300,45.0
36119008404,36119009100,61.0
36119007300,36119009000,20.0
36083051701,36083052004,67.0
36119010804,36061018300,23.0
36119009100,36119007700,48.0
36119009400,36119008200,19.0
36119010804,36119008700,23.0
36119010803,36119010901,74.0
36119010100,36119010803,22.0
36119014809,36119009702,70.0
36115092000,36115090000,53.0
36119003100,36119009500,26.0
36119009100,36119013000,73.0
36119009100,36119010903,414.0
36119008200,36061000900,20.0
36119009100,36119009600,122.0
36115090000,36095740400,15.0
36119009500,36119005200,22.0
36119008700,36005035100,33.0
36119009300,36119010903,98.0
36119008401,36119009702,30.0
36119009500,36119010903,45.0
36087011403,36119010803,46.0
36119008602,36119009000,81.0
36119012600,36119009300,20.0
36119008700,36061014000,33.0
36005039000,36119009300,25.0
36119010803,36071011000,24.0
36119010804,36119008602,47.0
36119002105,36119009300,52.0
36071013000,36119009702,31.0
36119001504,36119009400,16.0
36115090000,36083041400,31.0
36119003600,36119009100,19.0
36119013104,36119009000,30.0
36005012901,36119009702,16.0
36119009300,36047000502,19.0
36081014300,36119009702,22.0
36119005500,36119009300,21.0
36005020502,36119009300,19.0
36119002104,36119009400,20.0
36119002404,36119009702,19.0
36119012600,36119009400,40.0
36119009702,36061009000,16.0
36061009000,36119009300,31.0
36119014607,36119009000,16.0
36005043400,36119009000,55.0
36081037300,36119009702,22.0
36059404700,36119009702,15.0
36119009800,36119009400,72.0
36047069200,36119985000,19.0
36071011400,36029990000,8.0
36119010803,36119008901,24.0
36119010400,36119008901,18.0
36087011601,36119008901,15.0
36119009400,36119007300,19.0
36119009500,36005044902,22.0
36059411500,36119009300,9.0
36119009300,36119009100,78.0
36119009400,36119013500,19.0
36027210101,36119009300,19.0
36119014100,36119009500,16.0
36087010501,36119009500,16.0
36119008602,36119985000,54.0
36027050205,36119009300,17.0
36119009300,36005013500,19.0
36119011200,36119009300,132.0
36115086000,36115091000,29.0
36119008200,36119012303,61.0
36119001401,36119010804,22.0
36027050203,36119009300,20.0
36059404600,36029990000,11.0
36119005901,36119009500,20.0
36061016600,36119009400,50.0
36119009400,36119014903,19.0
36119007200,36119008700,24.0
36103159410,36119008901,10.0
36079010800,36119009702,45.0
36119005200,36119008700,28.0
36119010804,36061016800,23.0
36103158001,36103990100,11.0
36119013201,36119010804,31.0
36119008700,36119009703,116.0
36087010501,36119009300,33.0
36119009100,36119002402,24.0
36119008100,36119009400,88.0
36115090000,36065021601,15.0
36115092000,36065025200,26.0
36119009400,36119000900,19.0
36119010804,36119011102,47.0
36119010803,36061021100,24.0
36119010500,36119009000,16.0
36119009400,36061018300,38.0
36089491400,36089491800,100.0
36119007800,36119009500,24.0
36119012000,36119009100,50.0
36047111800,36119985000,13.0
36119009400,36119008000,96.0
36119009702,36119009300,64.0
36119002300,36119009000,72.0
36089492800,36089491500,234.0
36119009000,36061008800,25.0
36071014102,36119009300,17.0
36089491500,36089491300,30.0
36089491400,36089492700,33.0
36119009300,36119010701,19.0
36119008200,36005040400,20.0
36119008200,36119006500,20.0
36119009800,36119009100,14.0
36119006700,36119009400,55.0
36119003700,36119008200,19.0
36115090000,36001001500,15.0
36119008700,36081071600,50.0
36119009702,36119010903,32.0
36005021001,36119009100,19.0
36079010300,36119009300,56.0
36119012303,36119008901,11.0
36119014909,36119009400,36.0
36119012101,36119009300,24.0
36071011900,36119009000,17.0
36005035800,36119009400,18.0
36089492800,36089491400,195.0
36047053200,36029990000,34.0
36119012000,36119009300,33.0
36061016600,36119009300,25.0
36005015700,36119009300,13.0
36005024800,36119009300,17.0
36087010804,36119009400,11.0
36005041400,36119009000,52.0
36119012301,36119009500,28.0
36119010804,36119003500,23.0
36119012600,36119009000,40.0
36119008901,36059518700,24.0
36005044400,36119009100,17.0
36059415102,36119009300,10.0
36119009300,36119005002,19.0
36089491500,36033950501,30.0
36119008901,36103112212,24.0
36005040400,36119985000,16.0
36119008700,36047048500,16.0
36119009702,36119010801,32.0
36119011101,36119009500,20.0
36071014101,36119009702,12.0
36119009500,36119009300,636.0
36119008901,36061010000,24.0
36115086000,36113070701,206.0
36005033700,36119009702,18.0
36119008700,36119010901,50.0
36119009500,36119012303,113.0
36005023502,36119009000,42.0
36103112103,36119008901,14.0
36005038600,36119010803,17.0
36119009100,36087011602,24.0
36091061401,36115092000,18.0
36119009100,36119013800,24.0
36005018400,36119010804,18.0
36119010804,36119007300,23.0
36119002105,36119009702,34.0
36119011800,36119009702,16.0
36093033004,36089491400,12.0
36005017300,36119009000,15.0
36119010300,36119010803,27.0
36119009500,36119008401,68.0
36119014806,36119009702,34.0
36119002107,36119009702,44.0
36047042000,36119009300,23.0
36119008200,36071010300,20.0
36119007700,36119008901,21.0
36081045900,36119009000,17.0
36119006802,36119009702,80.0
36119008700,36061009000,16.0
36119008901,36005042600,24.0
36005039800,36119009300,16.0
36119010804,36119014607,23.0
