GEOID,residential_landuse,commercial_landuse,industrial_landuse,retail_landuse,forest_landuse,road_residential,road_primary,road_other,transport_point,food_point,health_point,education_point,retail_point
36105951701,0.4627579167790448,0.0,0.0,0.0,6.653214365121062,120.90941243447345,0.0,52.79864447283384,32,16,0,1,8
36105951801,0.0,0.0,0.0,0.0,0.0,40.97895692342653,1.9369485905215085,7.213389034496216,27,2,0,2,3
36105951302,0.49475749519856416,0.0,0.0,0.0,0.8154963454635334,127.05712794081585,0.0,27.155203747992985,6,0,0,0,3
36105951802,0.11916850855529305,0.0,0.0,0.0,0.0,30.384088240624088,2.4366506179286485,2.0794596349140964,17,0,0,1,4
36105950801,0.4832046260239185,0.0,0.0,0.0,0.058852605839212126,96.81254128498605,0.0,17.16376960855439,30,4,0,4,3
36105951702,6.565360082403353,0.0,0.0,0.0,52.802520663027714,66.77061336030798,15.192779093154662,57.73114964472208,5,0,0,0,0
36105950202,0.5993608916496084,0.0,0.0,0.0,0.0,128.27522901100198,0.0,81.66446088934487,11,7,1,0,15
36105950802,0.4336296991478191,0.0,0.0,0.0,0.0,92.63783814474266,3.999431400617242,25.300305379302596,11,5,0,0,7
36105951201,1.308946305709976,0.0,0.02465695126937579,0.0,0.0,76.0518931932379,0.0,41.41577239378215,29,1,1,3,12
36105951202,3.1942153712943524,0.0,0.0,0.0,0.006666096558556317,40.656565234190694,0.0,22.434608317864235,1,1,0,0,2
36105950201,0.40953972897406166,0.0,0.0,0.0,0.0,77.97829087912204,0.0,35.672482269990496,4,4,0,2,6
36105951000,0.1792312876938227,0.0,0.045370147400471336,0.0,0.0,60.167487279511256,3.685386012541557,35.77844582128865,31,1,0,1,0
36105951900,0.0,0.0,0.0,0.006551542505725189,0.0,103.51112650931094,17.939163369070936,33.545065049526954,1,2,0,1,1
36105952200,0.0,0.0,0.0,0.0,0.0,115.14612631671687,19.3931187570931,40.119745769171345,3,2,0,1,1
36105952500,0.10184785655245783,0.0,0.0,0.0,0.0,160.0799090686506,21.119792532668363,39.27907543097114,3,0,0,1,0
36105950400,0.7712010358256924,0.0,0.0,0.0,0.0,186.5250937962713,9.764162062526474,51.95488184202691,0,0,0,2,0
36105950900,0.7242156642095081,0.0,0.0,0.0,0.0,81.76341403143849,4.4166153892623115,5.390877765793055,20,1,0,2,1
36105950300,0.0,0.0,0.0,0.0,0.0,169.27880993986798,11.75868806004613,68.24224940912796,1,0,0,1,0
36105952100,0.0,0.0,0.0,0.0,0.0,133.40300811539936,37.976316107474545,24.017525497768307,1,10,1,1,4
36105950100,0.0,0.0,0.0,0.0,0.0,166.8259671911215,0.0,128.4631208293729,28,0,0,1,1
36105951100,0.1544297580250544,0.0,0.0,0.0,0.0,97.39292794139455,0.0,24.967910960230153,18,0,0,2,1
36105952300,0.0,0.0,0.0,0.0,0.0,130.556536618085,26.831282172049775,29.83790042632605,5,0,0,0,1
36105950600,1.1815798963120152,0.0,0.0,0.0,0.0,84.78937977410888,10.506866749831985,42.11006311166345,2,0,0,0,0
36105952000,4.724900405931318,0.016905701814749954,0.0,0.0,0.0,201.40293585232249,20.067921694947664,60.5871191056778,8,1,1,1,2
36105951500,0.11325584277949281,0.0,0.0,0.0,0.0,81.50809270378525,5.775836130691432,33.34835862957679,23,1,0,0,8
36105950500,0.0,0.014404251934516197,0.0,0.0,0.0,116.22577237437874,0.4724806953705378,64.64132032163454,27,4,2,0,14
36105951600,0.13913825532913804,0.0,0.0,0.0,0.0,119.12888053200625,15.126357212637606,32.38537026246201,9,0,2,3,0
36105952400,0.08849558973069284,0.0,0.028029031003640036,0.0,0.8188462981392345,130.86924159130285,33.51945432429681,29.568919971057596,2,0,0,2,1
36105951301,6.849147874646309,0.13765795154010194,0.0,0.0,15.172314764466707,64.78642727777512,0.0,33.081094893561655,14,2,0,1,2
36105950702,0.2512193848181397,0.0,0.0,0.0,0.0,24.582322717520487,5.894833681102114,7.194218205475915,10,6,0,0,2
36105950701,0.0,0.0,0.0,0.0,0.0,35.520819365227574,7.122870961515926,5.9193151618427,6,0,0,5,3
36111955300,0.0,0.0,0.017584689211315747,0.0,0.0,93.94489022684516,28.721135537986562,42.504499218433196,0,19,2,1,28
36111952901,0.0,0.0,0.0,0.0,0.001935283077065812,113.77060549523969,14.859726821566033,46.0213167512906,1,4,0,1,4
36111952902,0.0,0.0,0.0,0.0,0.0,135.04540882246366,5.421440305463688,11.09797351323501,0,0,0,1,1
36111955001,0.0,0.0,0.0,0.0,0.2315783639123913,162.7034175740035,0.0,32.75394508973869,0,0,0,1,0
36111955002,0.0,0.0,0.0,0.0,0.0,96.29490067394285,2.1910468996667216,16.161147284442116,0,2,0,0,3
36111954402,2.0529869831939065,0.0,0.0,0.0,0.3955000274028552,89.48730860108695,10.231150721556892,36.96998352015616,0,2,0,0,1
36111954401,0.0,0.0,0.12970117973982861,0.0,0.0,52.602867263473826,1.5221574066868833,37.44435020316393,0,0,0,0,2
36111953500,0.0,0.0,0.0,0.019000736075037182,0.0,23.785169879031752,3.8829759896269396,8.614513768618982,0,26,2,3,29
36111953600,0.2386191585498887,0.0,0.0,0.004285773745067488,0.0,54.203432439116604,3.9126666146651528,4.814882051697791,0,12,0,1,38
36111954200,0.029115121255413396,0.0,0.0,0.0,0.003965776645641548,141.43393455686757,34.33895158112921,43.639777278662876,0,0,0,1,4
36111951000,0.009414248753465882,0.01804221083357682,0.05998469219118614,0.0,0.05303190219951581,152.4712626395913,38.17638722125792,59.9811847289663,0,5,2,4,24
