geoid,residential_landuse,commercial_landuse,industrial_landuse,retail_landuse,forest_landuse,road_residential,road_primary,road_other,transport_point,food_point,health_point,education_point,retail_point,total_population
36105951701,0.4627579167790448,0.0,0.0,0.0,6.653214365121062,120.90941243447344,0.0,52.79864447283384,32,16,0,1,8,3443
36105951801,0.0,0.0,0.0,0.0,0.0,40.97895692342653,1.9369485905215085,7.213389034496216,27,2,0,2,3,3008
36105951302,0.4947574951985641,0.0,0.0,0.0,0.8154963454635334,127.05712794081585,0.0,27.155203747992985,6,0,0,0,3,2366
36105951802,0.119168508555293,0.0,0.0,0.0,0.0,30.384088240624088,2.4366506179286485,2.0794596349140964,17,0,0,1,4,3801
36105950801,0.4832046260239185,0.0,0.0,0.0,0.0588526058392121,96.81254128498604,0.0,17.16376960855439,30,4,0,4,3,2324
36105951702,6.565360082403353,0.0,0.0,0.0,52.802520663027714,66.77061336030798,15.192779093154662,57.73114964472208,5,0,0,0,0,808
36105950202,0.5993608916496084,0.0,0.0,0.0,0.0,128.27522901100198,0.0,81.66446088934487,11,7,1,0,15,1198
36105950802,0.4336296991478191,0.0,0.0,0.0,0.0,92.63783814474266,3.999431400617242,25.3003053793026,11,5,0,0,7,2251
36105951201,1.308946305709976,0.0,0.0246569512693757,0.0,0.0,76.0518931932379,0.0,41.41577239378215,29,1,1,3,12,4319
36105951202,3.1942153712943524,0.0,0.0,0.0,0.0066660965585563,40.65656523419069,0.0,22.434608317864235,1,1,0,0,2,4214
36105950201,0.4095397289740616,0.0,0.0,0.0,0.0,77.97829087912204,0.0,35.672482269990496,4,4,0,2,6,2092
36105951000,0.1792312876938227,0.0,0.0453701474004713,0.0,0.0,60.167487279511256,3.685386012541557,35.77844582128865,31,1,0,1,0,2315
36105951900,0.0,0.0,0.0,0.0065515425057251,0.0,103.51112650931094,17.939163369070936,33.545065049526954,1,2,0,1,1,1546
36105952200,0.0,0.0,0.0,0.0,0.0,115.14612631671687,19.3931187570931,40.11974576917135,3,2,0,1,1,1448
36105952500,0.1018478565524578,0.0,0.0,0.0,0.0,160.0799090686506,21.119792532668363,39.27907543097114,3,0,0,1,0,2243
36105950400,0.7712010358256924,0.0,0.0,0.0,0.0,186.5250937962713,9.764162062526474,51.95488184202691,0,0,0,2,0,2989
36105950900,0.7242156642095081,0.0,0.0,0.0,0.0,81.76341403143849,4.416615389262312,5.390877765793055,20,1,0,2,1,3518
36105950300,0.0,0.0,0.0,0.0,0.0,169.27880993986798,11.75868806004613,68.24224940912796,1,0,0,1,0,1161
36105952100,0.0,0.0,0.0,0.0,0.0,133.40300811539936,37.97631610747455,24.017525497768307,1,10,1,1,4,2203
36105950100,0.0,0.0,0.0,0.0,0.0,166.8259671911215,0.0,128.4631208293729,28,0,0,1,1,3366
36105951100,0.1544297580250544,0.0,0.0,0.0,0.0,97.39292794139456,0.0,24.967910960230157,18,0,0,2,1,3784
36105952300,0.0,0.0,0.0,0.0,0.0,130.556536618085,26.83128217204977,29.83790042632605,5,0,0,0,1,1405
36105950600,1.1815798963120152,0.0,0.0,0.0,0.0,84.78937977410888,10.506866749831984,42.11006311166345,2,0,0,0,0,1652
36105952000,4.724900405931318,0.0169057018147499,0.0,0.0,0.0,201.40293585232249,20.067921694947664,60.5871191056778,8,1,1,1,2,2413
36105951500,0.1132558427794928,0.0,0.0,0.0,0.0,81.50809270378525,5.775836130691432,33.34835862957679,23,1,0,0,8,2898
36105950500,0.0,0.0144042519345161,0.0,0.0,0.0,116.22577237437874,0.4724806953705378,64.64132032163454,27,4,2,0,14,3075
36105951600,0.139138255329138,0.0,0.0,0.0,0.0,119.12888053200624,15.126357212637606,32.38537026246201,9,0,2,3,0,3400
36105952400,0.0884955897306928,0.0,0.02802903100364,0.0,0.8188462981392345,130.86924159130285,33.51945432429681,29.5689199710576,2,0,0,2,1,2196
36105951301,6.849147874646309,0.1376579515401019,0.0,0.0,15.172314764466709,64.78642727777512,0.0,33.081094893561655,14,2,0,1,2,1756
36105950702,0.2512193848181397,0.0,0.0,0.0,0.0,24.582322717520487,5.894833681102114,7.194218205475915,10,6,0,0,2,2217
36105950701,0.0,0.0,0.0,0.0,0.0,35.520819365227574,7.122870961515926,5.9193151618427,6,0,0,5,3,3215
36111955300,0.0,0.0,0.0175846892113157,0.0,0.0,93.94489022684516,28.72113553798656,42.5044992184332,0,19,2,1,28,2283
36111952901,0.0,0.0,0.0,0.0,0.0019352830770658,113.77060549523968,14.859726821566031,46.0213167512906,1,4,0,1,4,3063
36111952902,0.0,0.0,0.0,0.0,0.0,135.04540882246366,5.421440305463688,11.09797351323501,0,0,0,1,1,2595
36111955001,0.0,0.0,0.0,0.0,0.2315783639123913,162.7034175740035,0.0,32.75394508973869,0,0,0,1,0,2382
36111955002,0.0,0.0,0.0,0.0,0.0,96.29490067394283,2.1910468996667216,16.161147284442116,0,2,0,0,3,3075
36111954402,2.0529869831939065,0.0,0.0,0.0,0.3955000274028552,89.48730860108695,10.231150721556892,36.96998352015616,0,2,0,0,1,4734
36111954401,0.0,0.0,0.1297011797398286,0.0,0.0,52.60286726347383,1.5221574066868833,37.44435020316393,0,0,0,0,2,4255
36111953500,0.0,0.0,0.0,0.0190007360750371,0.0,23.785169879031752,3.88297598962694,8.614513768618982,0,26,2,3,29,5192
36111953600,0.2386191585498887,0.0,0.0,0.0042857737450674,0.0,54.20343243911661,3.9126666146651528,4.814882051697791,0,12,0,1,38,6116
