tile,cpc
100,0.47642446542525224
101,0.3760462546893223
102,0.05532230500184451
104,0.15706263969906775
107,0.4875065884693151
108,0.34691560821647344
110,0.5681948742120511
111,0.17705067149407824
112,0.4268134434699535
114,0.5194275210142272
115,0.3535892120300151
116,0.32396905919278857
121,0.03064216528425192
122,0.07263893206506225
126,0.44151567491429883
128,0.3686120173773104
130,0.24738057534782742
136,0.4503386004514673
138,0.4545526883138573
139,0.44387887373895857
14,0.5172495219582561
141,0.47087429692581173
143,0.4733384558141993
149,0.528805114311164
157,0.17907354828374136
159,0.18442438703876612
161,0.23339011925042588
167,0.33609872446334127
170,0.2741183879093199
172,0.4660323819061926
173,0.4417436541393847
174,0.029784774404134507
18,0.4449877750611247
186,0.026618095255270417
188,0.016920211114560695
199,0.01648317472165205
218,0.6196237390927657
220,0.5947562953705428
229,0.07642907551164432
231,0.10779475633353071
243,0.8806881243063263
245,0.3163987528551503
246,0.49206171513650715
247,0.52193739721784
250,0.26121726822363767
252,0.16736822840409957
261,0.013190201564552048
262,0.11377859103385178
264,0.5962065437386848
265,0.11137493272548833
270,0.7554269175108539
275,0.0
276,0.027779716618971172
279,0.06572458968131302
28,0.4262893458591779
293,0.6031954697138234
295,0.29539361442846696
298,0.7128843163057782
304,0.832147814018043
305,1.0
329,0.7709279688513953
334,0.8143343603048484
337,0.23538895606610238
349,0.3690129112869638
36,0.0
361,0.2691194708557255
371,0.7042229293884923
374,0.6737466804158662
377,0.21641371557054526
378,0.8145135047185161
379,0.5539629005059022
383,0.08220502901353965
385,0.12502857142857143
39,0.7548349143319362
394,0.716039907904835
408,0.3471394517282479
409,0.4612993472179049
411,0.06657608695652174
42,0.2650649862150453
424,0.1954448662160911
425,0.45936547205687833
426,0.7815617986436377
431,0.7797423591816115
434,0.5123397048149044
437,0.4490935862409971
438,0.7273705337543902
44,0.31490384615384615
440,0.0
445,0.5690894568690096
446,0.604681647940075
447,0.8983209830222305
449,0.6502012440541529
45,0.08383233532934131
455,0.6967990992440084
465,0.41613553080695886
467,0.8268447064944073
51,0.4516988404658173
55,0.5890639231262921
70,0.15381379499100703
72,0.19676692725586326
73,0.6543684774522914
79,0.578111876147122
8,0.3980126467931346
81,0.6441614563509684
83,0.5127674258109041
85,0.09175793269836055
87,0.4770092510474886
89,0.023043478260869565
93,0.4329149590926133
99,0.06846956216310762
