tile,cpc
100,0.3395226574472788
101,0.257394049340312
102,0.0488087942158398
104,0.15706263969906775
107,0.3580958198192119
108,0.2128423217810047
110,0.4774947057516119
111,0.1846202595465678
112,0.3329324177879062
114,0.4271293162991552
115,0.3046412078457309
116,0.25418331447629555
121,0.03877731101931011
122,0.07785330925092332
126,0.30521078765862114
128,0.1999356658282352
130,0.23388746993052192
136,0.4503386004514673
138,0.4474626091034197
139,0.31457854039581123
14,0.4332446206660142
141,0.30134678773750767
143,0.35296804760927025
149,0.5284775045674182
157,0.10315774610152063
159,0.18442438703876612
161,0.23339011925042588
167,0.33609872446334127
170,0.2741183879093199
172,0.4660323819061926
173,0.4417436541393847
174,0.029784774404134507
18,0.4449877750611247
186,0.026618095255270417
188,0.016920211114560695
199,0.01648317472165205
218,0.6196237390927657
220,0.5947562953705428
229,0.07642907551164432
231,0.1266397712719136
243,0.8806881243063263
245,0.2430366852667119
246,0.40041945513217037
247,0.5103824499400932
250,0.26121726822363767
252,0.16736822840409957
261,0.013190201564552048
262,0.11377859103385178
264,0.4440431318621153
265,0.11137493272548833
270,0.7554269175108539
275,0.0
276,0.027779716618971172
279,0.06572458968131302
28,0.3348148725904497
293,0.6031954697138234
295,0.29539361442846696
298,0.7128843163057782
304,0.832147814018043
305,1.0
329,0.7709279688513953
334,0.8143343603048484
337,0.23538895606610238
349,0.3690129112869638
36,0.0
361,0.2691194708557255
371,0.7042229293884923
374,0.43622131727013647
377,0.21641371557054526
378,0.8145135047185161
379,0.5539629005059022
383,0.08220502901353965
385,0.12502857142857143
39,0.7548349143319362
394,0.716039907904835
408,0.3471394517282479
409,0.4612993472179049
411,0.06657608695652174
42,0.2650649862150453
424,0.1954448662160911
425,0.44271639384920636
426,0.6168019564983717
431,0.7797423591816115
434,0.5123397048149044
437,0.37174516984978484
438,0.4572774822938285
44,0.31490384615384615
440,0.0
445,0.5690894568690096
446,0.604681647940075
447,0.8983209830222305
449,0.6502012440541529
45,0.08383233532934131
455,0.6967990992440084
465,0.27636381399136384
467,0.8268447064944073
51,0.5690141142898345
55,0.5060778480530044
70,0.17594228574687376
72,0.19676692725586326
73,0.5609034376701072
79,0.3182226935152613
8,0.3980126467931346
81,0.45033074656742506
83,0.5127674258109041
85,0.08325157002639959
87,0.41912150881064475
89,0.023043478260869565
93,0.2962669208376232
99,0.06637773596609552
