origin,destination,flow,target
53041971600,53041971600,2970.0,2970.0
53077001601,53077001601,231.0,231.0
53011040604,53011041110,166.76198,0.0
53011040604,53011041111,290.88824,0.0
53011040604,53011041105,244.55565,141.0
53011040604,53011041900,69.26539,141.0
53011040604,53011043000,137.70642,0.0
53011040604,53011041323,1821.0311,655.0
53011040604,53011041313,427.64124,371.0
53011040604,53011042500,82.275085,460.0
53011040604,53011041206,462.9309,70.0
53011040604,53011041326,732.2993,5472.0
53011040604,53011042000,45.849876,0.0
53011040604,53011041208,291.3394,70.0
53011040604,53011041800,102.47262,0.0
53011040604,53011042800,129.23041,0.0
53011040604,53011041337,579.6855,761.0
53011040604,53011041205,402.056,495.0
53011040604,53011041104,363.49796,0.0
53011040604,53011042900,117.39036,159.0
53011040604,53011041328,1957.9674,920.0
53011040604,53011041325,1141.1404,159.0
53011040604,53011041330,580.40906,0.0
53011040604,53011042700,194.47554,0.0
53011040604,53011040604,1390.1583,2461.0
53011040604,53011041309,493.65903,0.0
53011040604,53011042100,56.00885,0.0
53011040604,53011041329,2460.3655,2567.0
53011040604,53011041003,62.153553,0.0
53011040604,53011041322,1512.8065,1416.0
53011040604,53011041320,1232.8036,1416.0
53011040604,53011043100,257.43024,141.0
53011040604,53011042300,85.53762,70.0
53011040604,53011041203,585.23804,460.0
53011040604,53011041319,807.7771,690.0
53011040604,53011041114,454.99042,2390.0
53011040604,53011041112,266.22095,141.0
53011040604,53011041600,201.5839,407.0
53011040604,53011041312,948.0038,1576.0
53011040604,53011041331,382.68314,70.0
53011040604,53011041700,134.62387,141.0
53011040604,53011042601,134.9873,885.0
53011040604,53011041321,898.7032,265.0
53011040604,53011041332,702.47797,141.0
53011040604,53011041334,1050.1473,141.0
53011040604,53011041310,685.2986,141.0
53011040604,53011041333,571.0152,0.0
53011040604,53011042400,103.396454,708.0
53011040604,53011041011,110.301796,141.0
53011040604,53011041317,896.7563,584.0
53011041003,53011042400,698.059,1107.0
53011041003,53011041105,307.1145,310.0
53011041003,53011041003,718.9215,1379.0
53011041003,53011041600,384.26196,233.0
53011041003,53011042300,763.81,252.0
53011041003,53011041011,503.49075,310.0
53011041003,53011041317,173.43665,77.0
53011041003,53011041320,92.54343,77.0
53011041003,53011041326,84.71478,155.0
53011041003,53011041329,109.44887,0.0
53011041003,53011041900,473.78397,2351.0
53011041003,53011041322,281.02002,155.0
53011041003,53011041319,67.69792,0.0
53011041003,53011041203,293.67792,233.0
53011041003,53011041323,118.23043,0.0
53011041003,53011041310,67.46969,0.0
53011041003,53011041104,189.17859,77.0
53011041003,53011041312,165.0978,155.0
53011041003,53011041330,91.047745,0.0
53011041003,53011041700,471.1669,310.0
53011041003,53011041112,267.28973,0.0
53011041003,53011041800,482.47647,0.0
53011041003,53011041331,115.34413,0.0
53011041003,53011042000,437.3861,77.0
53011041003,53011041333,65.22515,0.0
53011041003,53011040604,23.854715,155.0
53011041003,53011042700,426.9319,77.0
53011041003,53011043000,153.42206,0.0
53011041003,53011041321,44.586582,0.0
53011041003,53011041208,123.359245,0.0
53011041003,53011042100,548.72125,0.0
53011041003,53011041110,293.7589,77.0
53011041003,53011041206,165.54057,155.0
53011041003,53011042500,423.91904,699.0
53011041003,53011041337,110.3366,233.0
53011041003,53011041309,83.58797,0.0
53011041003,53011041313,176.66031,77.0
53011041003,53011041334,49.327835,0.0
53011041003,53011041328,65.65195,0.0
53011041003,53011042900,184.75067,349.0
53011041003,53011041325,45.387733,0.0
53011041003,53011042800,282.97543,77.0
53011041003,53011041205,254.04243,544.0
53011041003,53011043100,182.81082,155.0
53011041003,53011041114,330.50415,1146.0
53011041003,53011041111,428.1768,77.0
53011041003,53011041332,72.615105,0.0
53011041003,53011042601,429.18408,1243.0
