"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US36003950300","Census Tract 9503; Allegany County; New York","4755",
"1400000US36003950401","Census Tract 9504.01; Allegany County; New York","1647",
"1400000US36003950402","Census Tract 9504.02; Allegany County; New York","1960",
"1400000US36003950500","Census Tract 9505; Allegany County; New York","3671",
"1400000US36003950600","Census Tract 9506; Allegany County; New York","3653",
"1400000US36003950700","Census Tract 9507; Allegany County; New York","3575",
"1400000US36003950800","Census Tract 9508; Allegany County; New York","6136",
"1400000US36003950900","Census Tract 9509; Allegany County; New York","3649",
"1400000US36003951000","Census Tract 9510; Allegany County; New York","3116",
"1400000US36003951100","Census Tract 9511; Allegany County; New York","3772",
"1400000US36003951201","Census Tract 9512.01; Allegany County; New York","2301",
"1400000US36003951202","Census Tract 9512.02; Allegany County; New York","2475",
"1400000US36003951301","Census Tract 9513.01; Allegany County; New York","1350",
"1400000US36003951302","Census Tract 9513.02; Allegany County; New York","2119",
"1400000US36005000100","Census Tract 1; Bronx County; New York","3772",
"1400000US36005000200","Census Tract 2; Bronx County; New York","4779",
"1400000US36005000400","Census Tract 4; Bronx County; New York","6272",
"1400000US36005001600","Census Tract 16; Bronx County; New York","5795",
"1400000US36005001901","Census Tract 19.01; Bronx County; New York","2292",
"1400000US36005001902","Census Tract 19.02; Bronx County; New York","1613",
"1400000US36005001903","Census Tract 19.03; Bronx County; New York","2",
"1400000US36005001904","Census Tract 19.04; Bronx County; New York","0",
"1400000US36005002001","Census Tract 20.01; Bronx County; New York","5007",
"1400000US36005002002","Census Tract 20.02; Bronx County; New York","4584",
"1400000US36005002300","Census Tract 23; Bronx County; New York","4742",
"1400000US36005002400","Census Tract 24; Bronx County; New York","6",
"1400000US36005002500","Census Tract 25; Bronx County; New York","5442",
"1400000US36005002701","Census Tract 27.01; Bronx County; New York","3080",
"1400000US36005002702","Census Tract 27.02; Bronx County; New York","4995",
"1400000US36005002800","Census Tract 28; Bronx County; New York","5853",
"1400000US36005003100","Census Tract 31; Bronx County; New York","2964",
"1400000US36005003300","Census Tract 33; Bronx County; New York","3689",
"1400000US36005003500","Census Tract 35; Bronx County; New York","3726",
"1400000US36005003700","Census Tract 37; Bronx County; New York","340",
