tile,cpc
100,0.40444262669813685
101,0.31391896753135906
102,0.05383458079176747
104,0.15706263969906775
107,0.41633181319243034
108,0.29065555143149047
110,0.4792326377733587
111,0.17790658589831013
112,0.37231982426459515
114,0.4886496698029392
115,0.34437973981255326
116,0.273486281182775
121,0.06518511723277469
122,0.08412318494476348
126,0.36613241979407846
128,0.2318592186331422
130,0.23638057674901938
136,0.4503386004514673
138,0.47633686345415416
139,0.3712080705547283
14,0.45571947200675733
141,0.38062905373811845
143,0.3923955016274063
149,0.497507618100385
157,0.1576923348678781
159,0.18442438703876612
161,0.23339011925042588
167,0.33609872446334127
170,0.2741183879093199
172,0.4660323819061926
173,0.4417436541393847
174,0.029784774404134507
18,0.4449877750611247
186,0.026618095255270417
188,0.016920211114560695
199,0.01648317472165205
218,0.6196237390927657
220,0.5947562953705428
229,0.07642907551164432
231,0.11062263596759044
243,0.8806881243063263
245,0.28377660833205065
246,0.4590354780448695
247,0.48576059976050256
250,0.26121726822363767
252,0.16736822840409957
261,0.013190201564552048
262,0.11377859103385178
264,0.4671234026419144
265,0.11137493272548833
270,0.7554269175108539
275,0.0
276,0.027779716618971172
279,0.06572458968131302
28,0.34238427329576177
293,0.6031954697138234
295,0.29539361442846696
298,0.7128843163057782
304,0.832147814018043
305,1.0
329,0.7709279688513953
334,0.8143343603048484
337,0.23538895606610238
349,0.3690129112869638
36,0.0
361,0.2691194708557255
371,0.7042229293884923
374,0.6665312475721127
377,0.21641371557054526
378,0.8145135047185161
379,0.5539629005059022
383,0.08220502901353965
385,0.12502857142857143
39,0.7548349143319362
394,0.716039907904835
408,0.3471394517282479
409,0.4612993472179049
411,0.06657608695652174
42,0.2650649862150453
424,0.1954448662160911
425,0.4271168568121693
426,0.6014690652291911
431,0.7797423591816115
434,0.5123397048149044
437,0.4050858700988565
438,0.46318723598202527
44,0.31490384615384615
440,0.0
445,0.5690894568690096
446,0.604681647940075
447,0.8983209830222305
449,0.6502012440541529
45,0.08383233532934131
455,0.6967990992440084
465,0.4253751029602636
467,0.8268447064944073
51,0.6563546022928961
55,0.5014856809665926
70,0.1507757346875465
72,0.19676692725586326
73,0.5479678518258391
79,0.3519093302168773
8,0.3980126467931346
81,0.40457042758729456
83,0.5127674258109041
85,0.0971833139946747
87,0.42070110762806495
89,0.023043478260869565
93,0.27355043421788705
99,0.07750155332081524
