tile,cpc
10,0.5173735708316558
101,0.9233545282694621
103,0.7329583353396623
104,0.6792607380502693
107,0.6489576688492297
113,0.6212911463001648
114,0.6807955163570849
117,0.6164504286420203
118,0.6836859174707706
119,0.8436205595793976
132,0.9105629029312754
135,0.8193007616437851
143,0.8514755684567006
146,0.8728105631905146
147,0.6574578233219127
148,0.6188556927235156
153,0.9058413251961639
156,0.7401420512555934
157,0.541726929073164
158,0.760902620783095
160,0.725526255175461
161,0.759132847919474
163,0.6565164901590106
164,0.7613921779691425
165,0.8721590909090909
166,0.8739754098360656
17,0.6827328593806483
173,0.6842556394450416
177,0.7545922614180459
178,0.72372634643377
18,0.6568627450980392
189,0.7432762836185819
190,0.7613603921703188
191,0.89120151371807
192,0.6610293045633474
195,0.6143430369483877
196,0.7982115741521849
202,0.8238568588469185
207,0.6079016681299385
208,0.7132467532467532
209,0.8034887860448559
21,0.5193799409446462
210,0.847809667673716
212,0.7764607883390074
213,0.7138485561606083
22,0.3872551797742232
221,0.8496386782976406
23,0.5880112380829292
235,0.6857290056671819
240,0.8770326777141088
241,0.7687623263182003
246,0.8172345701010084
248,0.7759482219149717
251,0.9037309995393827
253,0.9254128929142248
255,0.7987698696782317
256,0.7529209621993127
266,0.7728812215340848
267,0.7674668101124461
270,0.7074613284804367
271,0.7441102138223059
274,0.7646272149782681
277,0.6584914391485424
278,0.6928710724722743
284,0.7979351032448377
290,0.7970234325522483
293,0.6299648939980454
295,0.6460950570492836
296,0.6947549441100602
297,0.6184873949579832
30,0.5455132546886549
300,0.5922853981863163
301,0.695756574632451
302,0.609955713032139
303,0.8077757125154895
306,0.7016528925619835
31,0.5268834184079256
311,0.9465687515826792
318,0.5842769567961396
319,0.5818403060612395
32,0.3707216527944366
320,0.6248764645079232
321,0.574322306878679
323,0.8617295446053285
325,0.6562517811619134
326,0.673253618628068
328,0.6760827218987643
331,0.6984367120524458
333,0.8507581803671189
342,0.27519396413865305
345,0.5934686409544416
347,0.5384082717137927
348,0.5383938178460629
349,0.658174262838594
352,0.849090267309674
354,0.6599002371049234
355,0.46444606370608393
356,0.604872589599355
359,0.5672032946461999
360,0.8040123456790124
362,0.82981220657277
365,0.8813486982501068
37,0.7605556117522789
371,0.1990441083265111
373,0.4922738990395672
377,0.6055179318736267
379,0.7682899243661351
38,0.593390452876377
383,0.5574799000414766
386,0.8527131782945736
388,0.881198347107438
39,0.6041216024837205
390,0.9218900675024108
399,0.3628618680751008
4,0.5529006810525093
40,0.52217449913727
401,0.7250824219933243
402,0.7746580168326663
405,0.7475387712474125
408,0.8099273925595379
41,0.5448886632912279
411,0.5428329163667042
412,0.6519435172773551
414,0.7929338950126923
417,0.9068432671081678
42,0.547401851003911
422,0.8692566305565932
43,0.6246608183393425
437,0.7159533073929961
438,0.9115281501340483
439,0.6853146853146853
44,0.6223724329204177
445,0.9138974287669892
45,0.7990957897711218
450,0.5274169971622089
456,0.5138729417274411
463,0.8371943139569936
467,0.8787377497313247
47,0.5242043098574293
49,0.6132630399124348
5,0.6933328318782637
50,0.6822020212809244
54,0.6494400013684236
55,0.7159736423540104
57,0.8024076380240763
58,0.7386030949393559
60,0.689856767027185
70,0.7133552329686486
72,0.7907713698855262
73,0.6484840145083364
78,0.797098695554861
80,0.8320274065267301
82,0.6924488803894596
84,0.48669023880601914
87,0.5484722746133535
88,0.7305818440124862
9,0.6441375777143756
91,0.8435297885970532
93,0.6373578245998132
94,0.5517207977430731
97,0.5466986147667404
98,0.6397473724690834
99,0.6755299671872304
