origin,destination,flow,target
53041971600,53041971600,2970.0,2970.0
53077001601,53077001601,231.0,231.0
53011040604,53011041317,774.6057,584.0
53011040604,53011041700,107.46744,141.0
53011040604,53011042500,39.241764,460.0
53011040604,53011041900,47.72442,141.0
53011040604,53011041334,1250.1736,141.0
53011040604,53011041319,776.0728,690.0
53011040604,53011041110,149.48862,0.0
53011040604,53011041203,479.35544,460.0
53011040604,53011041309,412.28238,0.0
53011040604,53011041800,70.884384,0.0
53011040604,53011042300,57.385536,70.0
53011040604,53011041325,1068.1803,159.0
53011040604,53011041322,2136.211,1416.0
53011040604,53011042400,75.83405,708.0
53011040604,53011041328,2455.5771,920.0
53011040604,53011042000,29.594131,0.0
53011040604,53011041313,390.8358,371.0
53011040604,53011041333,565.3404,0.0
53011040604,53011041329,2815.3328,2567.0
53011040604,53011041332,726.0444,141.0
53011040604,53011042800,99.69567,0.0
53011040604,53011041111,252.47926,0.0
53011040604,53011041330,522.67096,0.0
53011040604,53011041105,165.73035,141.0
53011040604,53011041321,909.1504,265.0
53011040604,53011043000,103.3583,0.0
53011040604,53011041310,538.5222,141.0
53011040604,53011041003,39.16699,0.0
53011040604,53011041011,81.6279,141.0
53011040604,53011041206,473.82504,70.0
53011040604,53011041205,348.9105,495.0
53011040604,53011041208,256.9782,70.0
53011040604,53011043100,195.81815,141.0
53011040604,53011041320,1533.3348,1416.0
53011040604,53011041114,406.54446,2390.0
53011040604,53011042900,86.81559,159.0
53011040604,53011041112,240.10818,141.0
53011040604,53011041337,593.5937,761.0
53011040604,53011041600,182.79294,407.0
53011040604,53011041323,1742.9128,655.0
53011040604,53011042100,40.75986,0.0
53011040604,53011040604,1119.3837,2461.0
53011040604,53011041312,871.0589,1576.0
53011040604,53011042601,97.43007,885.0
53011040604,53011041331,383.5308,70.0
53011040604,53011041104,312.4775,0.0
53011040604,53011041326,638.0051,5472.0
53011040604,53011042700,161.6863,0.0
53011041003,53011041104,163.49991,77.0
53011041003,53011042500,388.5081,699.0
53011041003,53011041310,45.611988,0.0
53011041003,53011042900,165.38176,349.0
53011041003,53011041205,247.7074,544.0
53011041003,53011041326,64.702705,155.0
53011041003,53011042700,529.466,77.0
53011041003,53011041011,482.56998,310.0
53011041003,53011041800,487.1923,0.0
53011041003,53011043000,133.39487,0.0
53011041003,53011041900,484.25922,2351.0
53011041003,53011041003,757.3524,1379.0
53011041003,53011043100,154.11278,155.0
53011041003,53011041208,97.85921,0.0
53011041003,53011041319,53.669895,0.0
53011041003,53011042601,432.52347,1243.0
53011041003,53011041313,158.3487,77.0
53011041003,53011041112,294.18677,0.0
53011041003,53011042800,260.8061,77.0
53011041003,53011041600,395.52744,233.0
53011041003,53011041114,306.33322,1146.0
53011041003,53011041322,340.1332,155.0
53011041003,53011041337,98.23696,233.0
53011041003,53011042300,765.8444,252.0
53011041003,53011041331,108.002556,0.0
53011041003,53011041330,79.011536,0.0
53011041003,53011041111,434.47482,77.0
53011041003,53011041334,41.937744,0.0
53011041003,53011042100,571.9697,0.0
53011041003,53011041325,32.814507,0.0
53011041003,53011041321,34.45628,0.0
53011041003,53011041317,174.6007,77.0
53011041003,53011041309,65.98136,0.0
53011041003,53011041203,300.95187,233.0
53011041003,53011041328,58.730724,0.0
53011041003,53011041105,311.32947,310.0
53011041003,53011041110,318.4803,77.0
53011041003,53011041312,161.61482,155.0
53011041003,53011041329,89.85548,0.0
53011041003,53011041333,52.529926,0.0
53011041003,53011041332,57.53944,0.0
53011041003,53011042400,865.0622,1107.0
53011041003,53011042000,428.42966,77.0
53011041003,53011041206,157.73375,155.0
53011041003,53011041320,85.174126,77.0
53011041003,53011041700,452.06158,310.0
53011041003,53011040604,12.856033,155.0
53011041003,53011041323,119.17275,0.0
