origin,destination,flow,target
53041971600,53041971600,2970.0,2970.0
53077001601,53077001601,231.0,231.0
53011040604,53011041205,333.77676,495.0
53011040604,53011041337,741.4391,761.0
53011040604,53011041326,882.56976,5472.0
53011040604,53011041208,452.8489,70.0
53011040604,53011041322,666.1408,1416.0
53011040604,53011041310,845.0205,141.0
53011040604,53011041800,131.96646,0.0
53011040604,53011041323,1292.7068,655.0
53011040604,53011042800,187.90924,0.0
53011040604,53011041900,93.02945,141.0
53011040604,53011041330,780.76227,0.0
53011040604,53011041203,383.3706,460.0
53011040604,53011041328,1052.1344,920.0
53011040604,53011041317,732.9408,584.0
53011040604,53011041319,810.50354,690.0
53011040604,53011041110,104.08327,0.0
53011040604,53011042400,75.80308,708.0
53011040604,53011041334,1408.849,141.0
53011040604,53011041112,184.35313,141.0
53011040604,53011041105,195.34288,141.0
53011040604,53011041600,215.57855,407.0
53011040604,53011042601,128.8568,885.0
53011040604,53011042100,85.63032,0.0
53011040604,53011041206,313.9783,70.0
53011040604,53011042900,187.40562,159.0
53011040604,53011041003,85.655754,0.0
53011040604,53011041313,477.07376,371.0
53011040604,53011041700,154.35367,141.0
53011040604,53011042300,84.83653,70.0
53011040604,53011041114,364.3796,2390.0
53011040604,53011041309,650.9871,0.0
53011040604,53011043100,343.32626,141.0
53011040604,53011041312,691.4446,1576.0
53011040604,53011042000,73.903244,0.0
53011040604,53011041333,949.12115,0.0
53011040604,53011041011,135.98572,141.0
53011040604,53011041320,676.4813,1416.0
53011040604,53011042700,167.65929,0.0
53011040604,53011040604,3123.6775,2461.0
53011040604,53011042500,65.35942,460.0
53011040604,53011041332,1014.0582,141.0
53011040604,53011041111,270.06107,0.0
53011040604,53011041325,1279.9452,159.0
53011040604,53011041321,1356.3145,265.0
53011040604,53011041329,1290.449,2567.0
53011040604,53011041331,569.57184,70.0
53011040604,53011043000,256.57977,0.0
53011040604,53011041104,457.77643,0.0
53011041003,53011041331,131.05032,0.0
53011041003,53011041326,75.76767,155.0
53011041003,53011041313,152.41356,77.0
53011041003,53011041011,567.3051,310.0
53011041003,53011041309,75.64839,0.0
53011041003,53011043000,231.73964,0.0
53011041003,53011041104,204.07202,77.0
53011041003,53011042300,741.043,252.0
53011041003,53011041900,656.37305,2351.0
53011041003,53011041003,1191.7229,1379.0
53011041003,53011041208,145.31273,0.0
53011041003,53011041700,491.9895,310.0
53011041003,53011041312,84.07109,155.0
53011041003,53011043100,183.87839,155.0
53011041003,53011041310,52.581802,0.0
53011041003,53011041321,44.649075,0.0
53011041003,53011042400,621.40063,1107.0
53011041003,53011041320,34.627773,77.0
53011041003,53011041600,348.04898,233.0
53011041003,53011040604,20.265972,155.0
53011041003,53011041333,77.07443,0.0
53011041003,53011041328,19.811293,0.0
53011041003,53011042700,337.59747,77.0
53011041003,53011041330,73.98027,0.0
53011041003,53011041329,34.95597,0.0
53011041003,53011042100,804.48627,0.0
53011041003,53011042601,446.62793,1243.0
53011041003,53011041322,79.179375,155.0
53011041003,53011041332,72.649956,0.0
53011041003,53011041203,155.78656,233.0
53011041003,53011042900,251.72545,349.0
53011041003,53011041205,176.2889,544.0
53011041003,53011042800,358.2522,77.0
53011041003,53011041323,44.14797,0.0
53011041003,53011041319,44.382427,0.0
53011041003,53011041206,91.17205,155.0
53011041003,53011041800,533.19415,0.0
53011041003,53011041325,24.823875,0.0
53011041003,53011041112,174.09729,0.0
53011041003,53011041334,45.93495,0.0
53011041003,53011041105,240.56915,310.0
53011041003,53011041317,85.61866,77.0
53011041003,53011041110,149.67252,77.0
53011041003,53011041114,252.71902,1146.0
53011041003,53011042000,694.52936,77.0
53011041003,53011041337,100.4268,233.0
53011041003,53011041111,373.80057,77.0
53011041003,53011042500,524.5334,699.0
