tile,cpc
100,0.4676791984766482
101,0.36076748607014014
102,0.0434033081550968
104,0.11323350233856071
107,0.3485537341659572
108,0.25698305547333883
110,0.390893113643212
111,0.13138573154517424
112,0.30635896415326425
114,0.3716482734883102
115,0.23936476186869213
116,0.3159783117532555
121,0.030519181388306386
122,0.018729119390655642
126,0.3190586440486296
128,0.2581377558707904
130,0.1736414029706786
136,0.3711874543159014
138,0.18797372445895544
139,0.20099514247454833
14,0.4657576788752146
141,0.3521651067228287
143,0.3292397081246564
149,0.584227642365826
157,0.13679698080982117
159,0.13893809920800335
161,0.04962997464161879
167,0.2549559471365639
170,0.10401682238524218
172,0.3751823696536896
173,0.1452288275536683
174,0.01865139353162859
18,0.4194514865176308
186,0.022412536443148688
188,0.006994577598100555
199,0.014452443280977313
218,0.5169476211374139
220,0.48734094474464007
229,0.05314554912160173
231,0.10181885741205625
243,0.7259281847983533
245,0.2726507738032537
246,0.43361069054450674
247,0.46192562494381806
250,0.23819050077439338
252,0.13142200186821873
261,0.011562718990889979
262,0.1003874717468518
264,0.5810059373093686
265,0.10017654763938721
270,0.41517537580529706
275,0.0
276,0.02345729946366476
279,0.05909341568324694
28,0.3505067210195101
293,0.45191676347290266
295,0.20051839188220372
298,0.4281505963500503
304,0.2218496334497352
305,0.1111111111111111
329,0.4338933528122717
334,0.27321195415639055
337,0.02899558115287225
349,0.04216437443487365
36,
361,0.06343792633015007
371,0.4482890774705721
374,0.06658015277441609
377,0.04601410302378391
378,0.4155391383746991
379,0.24767084926490388
383,0.04762794172581248
385,0.07026332691072576
39,0.3654325382698469
394,0.36746750689247737
408,0.12691323056811374
409,0.12260409781890284
411,0.049328859060402686
42,0.02707922584798616
424,0.08369345438686912
425,0.33486835784958596
426,0.5048706230942226
431,0.3703659268146371
434,0.1934143222506394
437,0.10676911298912402
438,0.17367782874372573
44,0.14291948505345844
440,0.0
445,0.0831146106736658
446,0.12444598604848345
447,0.5025449965891798
449,0.0961060032449973
45,0.07734806629834254
455,0.4415452043624503
465,0.041617829641701395
467,0.5510864539990754
51,0.3113657311953816
55,0.4564211645786427
70,0.05489834535192308
72,0.12047704040240143
73,0.4776430522128946
79,0.47044153065286626
8,0.33960228148604904
81,0.3345229915527122
83,0.5127674258109041
85,0.0722444991737091
87,0.24361743304784822
89,0.01704827908880896
93,0.2771171766798855
99,0.06187569946103623
