geoid,commercial_landuse,food_point,food_poly,health_point,health_poly,industrial_landuse,main_road_line,natural_landuse,other_road_line,residential_landuse,residential_line,retail_landuse,retail_point,retail_poly,school_point,school_poly,transport_point,transport_poly,total_population
36061023802,0.0,1.0,0.0,1.0,1.0,9.074688599990164e-13,0.0,6.153884600074706e-13,3.892048452015349e-08,1.141973571999875e-11,1.951367794568724e-08,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4791
36103159111,0.0,0.0,0.0,0.0,0.0,0.0,2.8886795490929645e-08,0.0,1.8302072642702975e-07,0.0,1.8566355069366045e-07,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3159
36019100600,0.0,0.0,0.0,0.0,0.0,3.326549795005605e-12,1.457543752585169e-07,0.0,6.160464566597654e-07,0.0,1.6334860707351257e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5508
36039080600,0.0,10.0,1.0,1.0,0.0,8.541956039990952e-12,1.517950816280051e-07,3.000686810900201e-10,1.0106021632594225e-06,1.375277234002449e-11,1.0457235875289944e-06,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3305
36047017900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.638827150053105e-13,2.601429140853383e-08,0.0,1.7515813172927212e-08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3895
36007001402,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.533649490794669e-08,0.0,9.379969734672373e-08,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2875
36103169800,0.0,0.0,5.0,0.0,1.0,0.0,0.0,5.716981499941835e-14,5.7792021407924e-07,0.0,2.972297514169528e-07,3.96876496150182e-11,0.0,2.0,6.0,8.0,0.0,2.0,7070
36035970500,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.8813516220368035e-06,0.0,2.8334233147302245e-06,0.0,0.0,1.0,5.0,1.0,0.0,0.0,3966
36085017015,0.0,0.0,0.0,0.0,0.0,0.0,9.331478626624072e-09,0.0,1.2127513695068293e-08,0.0,6.532641406911244e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2713
36057072400,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3152127890005152e-11,6.573717925176898e-07,0.0,3.22500215335741e-07,0.0,0.0,1.0,2.0,4.0,0.0,0.0,2598
36103111201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.980798045936744e-08,0.0,1.4421963558425694e-07,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4026
36005013100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1989967326255308e-08,0.0,3.641730130059263e-08,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5390
36061013100,0.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,4.1894999881885926e-08,0.0,1.2320114100446402e-08,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3962
36109000201,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,1.7337777418006698e-08,0.0,1.630992535531092e-08,0.0,3.0,0.0,1.0,1.0,0.0,1.0,3337
36077590500,0.0,0.0,0.0,0.0,0.0,0.0,1.0063434452577121e-07,7.643456383006968e-11,8.58206361993227e-07,0.0,1.255835094690718e-06,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2827
