,height,width,area
WA_G,0.0011418805473557558,0.023984919344058442,2.3424938934001435e-07
WA_DG,0.0013685580862431435,0.04844483042660441,2.877240614702156e-05
WA_NLG,0.007157830898726236,0.04681178160853888,0.0001455403462757313
