Dataset Location,Model Type,Description,Fairness Sensitivity (Height),Performance Sensitivity (Width),Robustness (Area)
New York,Gravity,Descending and Unbiased,0.103167271121889,0.5258742363830207,0.009886847107445838
New York,Gravity,Ascending and Unbiased,0.1706862038174261,0.39529937976591434,0.010421832845254058
New York,Gravity,All (Mean),0.13692673746965756,0.4605868080744675,0.010154339976349947
New York,Deep Gravity,Descending and Unbiased,0.0702814198166552,1.0631569395197715,0.03910169157204449
New York,Deep Gravity,Ascending and Unbiased,0.1092184031851596,2.5318762883432484,0.020273376312830774
New York,Deep Gravity,All (Mean),0.0897499115009074,1.79751661393151,0.02968753394243763
New York,Non-Linear Gravity,Descending and Unbiased,0.15972447091312642,1.1534033065712563,0.0391524113141598
New York,Non-Linear Gravity,Ascending and Unbiased,0.1734636788491553,4.116604135478376,0.2802799855845158
New York,Non-Linear Gravity,All (Mean),0.16659407488114086,2.635003721024816,0.1597161984493378
