region_index,census_tracts_geoids
427,"36103123403, 36103147001, 36103135209, 36103122704, 36103112215, 36059520700, 36103145604, 36059520501, 36103146705, 36103123801, 36103122706, 36103122405, 36059521700, 36103112213, 36059521200, 36103112218, 36059520800, 36103122802, 36103122407, 36103201200, 36103147100, 36103123201, 36103124101, 36103122603, 36103122300, 36103112204, 36103122408, 36059521500, 36103124102, 36103124500, 36103123500, 36059521100, 36103112217, 36059521801, 36103123204, 36103146706, 36103124200, 36103123701, 36103123703, 36103146901, 36103122801, 36103122605, 36059521400, 36103123600, 36103147003, 36103145603, 36059521301, 36059521601, 36103123101, 36103122502, 36103124602, 36059520100, 36103145905, 36103123001, 36103124601, 36103112216, 36103124002, 36103123404, 36103146704, 36103122901, 36103145601, 36103145903, 36059520502, 36103122406, 36103145602, 36103122902, 36059520401, 36103146002, 36059520402, 36059521802, 36059521000, 36103147202, 36103122705, 36103146800, 36103146004, 36059522000, 36103112211, 36103124001, 36059520600, 36103147201, 36103123203, 36103146902, 36103112212, 36103124302, 36103123704, 36103123102, 36103123304, 36103122604, 36103124401, 36103123401, 36103145904, 36103124301, 36059521602, 36059519802, 36103122707, 36103123303, 36103122501, 36103146001, 36103145901, 36103112220, 36103112219, 36103123900, 36059519702, 36103123802, 36103123002, 36059518204, 36103146703, 36103122602"
428,"36103111703, 36103111602, 36103111101, 36103111402, 36103111804, 36103111601, 36103111802, 36103111103, 36103110200, 36103112103, 36103110501, 36103111701, 36103134702, 36103110803, 36103111508, 36103110104, 36103135102, 36103111300, 36103110602, 36103111002, 36103135205, 36103135201, 36103110901, 36103110103, 36103135103, 36103110101, 36103112001, 36103111102, 36103110801, 36103111803, 36103135208, 36103112104, 36103111506, 36103111504, 36103111503, 36103112102, 36103112002, 36103111704, 36103111401, 36103110402, 36103110502, 36103111001, 36103110300, 36103135101, 36103111202, 36103111801, 36059518203, 36103111900, 36103111201, 36103111507, 36103110601, 36103110401, 36103134703, 36103110902"
431,"36021000100, 36021000200"
432,36083052603
433,36083052101
435,"36115091000, 36115093000"
436,36115087000
443,36031960800
446,36019100200
449,"36103147602, 36103145701, 36103145807, 36103146201, 36103147004, 36103158609, 36103147601, 36103146102, 36103146403, 36103145804, 36103147901, 36103146206, 36103147401, 36103146402, 36103147902, 36103146106, 36103147803, 36103146613, 36103158901, 36103147702, 36103146404, 36103145706, 36103145703, 36103146500, 36103147804, 36103146205, 36103146105, 36103147504, 36103147701, 36103158802, 36103145808, 36103146204, 36103147301, 36103147502, 36103146300, 36103147402, 36103145705, 36103145702, 36103146617, 36103158608, 36103146005, 36103158805, 36103146607, 36103146103, 36103146202, 36103145605, 36103146611, 36103146620, 36103147505, 36103146608, 36103146614, 36103147503, 36103146618, 36103146619, 36103146612, 36103158803, 36103146203, 36103146616, 36103147802, 36103147302"
455,"36103159516, 36103159514, 36103159518, 36103158902, 36103159109, 36103159110, 36103159112, 36103159203, 36103159512, 36103159204, 36103159408, 36103159300, 36103159201, 36103159511, 36103159513, 36103159107, 36103159517, 36103159108, 36103159000, 36103159415, 36103159416, 36103159111, 36103159106, 36103159509, 36103159510, 36103159103, 36103159515, 36103158806, 36103159603"
458,"36103190504, 36103190502, 36103190605, 36103190503, 36103159604, 36103159602"
459,"36103190404, 36103169706, 36103190405, 36103159406, 36103169903, 36103190402, 36103169705, 36103169904, 36103169703, 36103169800, 36103159410, 36103169906"
464,"36103170205, 36103170204, 36103170006, 36103170101, 36103170005, 36103170203"
466,"36103190712, 36103201005, 36103200903, 36103200901, 36103200904, 36103190714"
468,36103170206
470,"36103201008, 36103201006, 36103201010, 36103201007"
