region_index,census_tracts_geoids
185,36045060102
188,"36007012300, 36017970902, 36017970901"
193,"36065024800, 36065024900, 36053030103, 36053030102, 36053030101"
194,"36065022800, 36065024700"
197,36049950500
198,36049950302
199,"36045060901, 36045060902, 36045980000, 36045061000"
200,36045060700
201,36089492900
205,"36025970501, 36007012400"
211,"36065026100, 36065021702, 36065023200, 36065025001, 36065026501, 36065021701, 36065025200, 36065023000, 36065025003, 36065023502, 36065023300, 36065025100, 36065025300, 36065023501, 36065025002, 36065023400"
215,36049950401
217,"36049950200, 36049950101"
219,36089492700
220,36089491800
225,36025971400
226,36025970601
228,"36077591401, 36025970300, 36077591000, 36077591700, 36077590900, 36077590800, 36077591100"
229,"36077591402, 36077590402"
231,"36065025800, 36077590301, 36065025500, 36043010100"
232,"36065020102, 36043010202, 36065021303, 36065021302, 36065025400, 36065980002, 36065021602, 36043010201, 36065021201, 36065021104, 36065020300, 36065023901, 36065021500, 36065021301, 36065020803, 36043010300, 36065021402, 36065020802, 36065020900, 36043011302, 36065021103, 36065021202, 36065021601, 36065026400, 36065026502, 36065980003, 36065021000, 36065020705, 36065021401"
233,"36065026200, 36065024000, 36065023902, 36043011503"
234,36065024102
236,36049950800
242,36089491000
243,36089490500
247,"36105952200, 36105952000, 36105950600, 36105952100"
249,"36025971300, 36025970700"
250,"36025970900, 36025970800"
252,"36077590201, 36077590500, 36077590701"
254,"36043010900, 36043010502"
259,36043011502
262,36089492501
265,"36089491100, 36089490800, 36089491200, 36089490900"
269,"36071002200, 36071011602, 36071011601, 36105952500, 36071002300, 36071002100"
272,36105950202
273,36025971200
276,36077590702
279,"36043011001, 36043011002, 36035970500, 36057072400"
289,36089492401
291,"36089490300, 36033940000"
292,36071014501
294,"36105951302, 36105951202, 36105951201, 36105951301"
298,36025971100
304,36035970400
310,36033951200
312,36033950701
313,36033951300
314,36033950301
315,36033950200
316,"36085017016, 36085023100, 36085017600, 36085017014, 36085014605, 36085027301, 36085022601, 36085017005, 36085029102, 36085030302, 36085029105, 36085014604, 36085022801, 36085029106, 36085015602, 36085024800, 36085022602, 36085019800, 36085027705, 36085015601, 36085017013, 36085032300, 36085022300, 36085024402, 36085017009, 36085022802, 36085027702, 36085027704, 36085017012, 36085027706, 36085031902, 36085029104, 36085014608, 36085027900, 36085017007, 36085023900, 36085020804, 36085020806, 36085017015, 36085014607, 36085030301, 36085020805, 36085017011, 36085020803, 36085031901, 36085024401"
317,36087011800
322,"36111952902, 36111951000, 36111955001"
324,"36039080301, 36039080402, 36039080302"
327,"36093033102, 36095740100"
329,"36035970700, 36035971200, 36035971100, 36035971400, 36035970601, 36035970800, 36035971501, 36035970300, 36035970900, 36035971502, 36035971000"
330,"36035970100, 36035970200"
336,36033950900
337,36033951000
340,"36033951400, 36033950501, 36033950502, 36033952000"
343,"36047012700, 36061013601, 36061022400, 36061015401, 36047031701, 36047032100, 36061006200, 36061010400, 36061011900, 36061013203, 36047026100, 36047025901, 36047016300, 36061008200, 36047049700, 36061004800, 36047004700, 36081004300, 36061006700, 36061012601, 36047051700, 36061018000, 36061012700, 36047004100, 36061017100, 36047021900, 36047024900, 36061010602, 36047053700, 36081004700, 36047050001, 36061015301, 36047010100, 36047020700, 36047056500, 36061013202, 36047003102, 36081005900, 36081003700, 36047003300, 36047052300, 36047034300, 36047052500, 36047023500, 36061019500, 36047005301, 36061007900, 36047050500, 36047000900, 36047024500, 36061010900, 36047008400, 36061005502, 36061015403, 36061009000, 36047015100, 36047059100, 36061003601, 36061018900, 36047081800, 36047054500, 36061006900, 36081018700, 36047034902, 36061015002, 36061005400, 36061020500, 36081000701, 36047044901, 36061003100, 36061019200, 36061001001, 36061021400, 36061001402, 36047082000, 36061019702, 36047017500, 36061016500, 36081019901, 36047003500, 36061010802, 36061005700, 36061009200, 36061023804, 36047005100, 36047008200, 36061014900, 36061007200, 36061019300, 36047033701, 36061011401, 36061013604, 36061017300, 36061018100, 36061015900, 36061009800, 36061019100, 36081005300, 36047058901, 36061001401, 36061012902, 36047048100, 36047016100, 36047006500, 36061020300, 36061004002, 36061020701, 36061013700, 36047007700, 36061000500, 36061004400, 36061004001, 36081007100, 36047050900, 36047032900, 36047050100, 36061018200, 36061018400, 36061021500, 36061017000, 36047001502, 36047032300, 36061025700, 36047035900, 36047150200, 36061006600, 36081005700, 36061006800, 36047014500, 36061021200, 36061014000, 36047080200, 36061007300, 36047006700, 36047086800, 36061007600, 36047024300, 36047014700, 36061003800, 36061003602, 36047079400, 36047022100, 36061002000, 36061013602, 36061000600, 36061001300, 36047050401, 36061018300, 36047044902, 36047032700, 36081009100, 36061001600, 36081000101, 36047018300, 36061015101, 36047087800, 36047028502, 36047007100, 36061016300, 36061002800, 36047013100, 36081003100, 36061005000, 36047028300, 36061007002, 36047055500, 36047005302, 36061017401, 36061003002, 36061000100, 36047011902, 36047021300, 36061017900, 36061008700, 36081007900, 36047050600, 36061007800, 36061014402, 36047020300, 36061006000, 36081000102, 36061016800, 36047022700, 36047026700, 36047025902, 36047012100, 36061016900, 36047093800, 36061014601, 36061014801, 36061031900, 36061019900, 36047031300, 36047026900, 36047013500, 36061010300, 36061000201, 36061015802, 36061003900, 36047029700, 36061003300, 36047030500, 36061021600, 36061020901, 36047000200, 36061017200, 36047015500, 36047050801, 36081009900, 36047048500, 36061007100, 36061004900, 36047019900, 36061016700, 36047020500, 36061013201, 36047034100, 36061014802, 36061019000, 36061011203, 36047011901, 36047055700, 36061015501, 36061000800, 36047019300, 36047042100, 36047031100, 36047053500, 36047035101, 36047024100, 36047049900, 36061015200, 36047014902, 36061012400, 36061023803, 36047029900, 36061001002, 36061003200, 36047081600, 36047081000, 36047052700, 36061008100, 36061012200, 36061001200, 36047042300, 36061000700, 36047023100, 36047050300, 36061009100, 36047051002, 36047033500, 36047053300, 36061008000, 36047001804, 36047039300, 36047047700, 36081000104, 36081017902, 36061018800, 36061009600, 36081000103, 36047080400, 36081019903, 36047085600, 36047025300, 36047086000, 36061017402, 36047057300, 36061002902, 36047048900, 36081003302, 36047038300, 36047050202, 36061013400, 36047055100, 36061012901, 36047035500, 36061022000, 36047035701, 36061019800, 36061014401, 36061010100, 36047014901, 36061020600, 36047027500, 36061020101, 36047050804, 36061015302, 36061021800, 36061002700, 36047006901, 36061014300, 36061007500, 36047085800, 36047080800, 36047033300, 36047051900, 36047052900, 36047030900, 36047038900, 36061011402, 36047038700, 36061012602, 36061008400, 36061021703, 36061004200, 36047016700, 36081005500, 36061009902, 36047031702, 36061017700, 36061010601, 36061009300, 36061016200, 36061022800, 36047079801, 36047025700, 36061005200, 36047054700, 36081008700, 36047056900, 36047001100, 36047026500, 36047088400, 36047057901, 36061010000, 36047000501, 36047016900, 36047001300, 36047015900, 36047012901, 36047021700, 36061004500, 36047086400, 36047021100, 36047008000, 36047029100, 36061002201, 36047029500, 36061015001, 36047088200, 36061013501, 36047027900, 36061008602, 36047055300, 36005005100, 36061002901, 36061011700, 36061011500, 36061012101, 36061013800, 36047028100, 36047034700, 36061002100, 36061002400, 36047079802, 36081008100, 36047086200, 36047080000, 36061012800, 36061011300, 36061008601, 36047014300, 36047033702, 36061010200, 36047003101, 36061012000, 36047011700, 36047031500, 36047057100, 36047022900, 36047025100, 36061011202, 36047059300, 36047045300, 36047002901, 36061018500, 36047051500, 36061010801, 36047012902, 36061011201, 36081001901, 36081001902, 36047015700, 36081004500, 36047000301, 36047049302, 36047053102, 36047017700, 36061020000, 36047057500, 36047027300, 36047006902, 36061005800, 36047079602, 36047002300, 36061016002, 36047051300, 36047008500, 36061014602, 36047001801, 36061015502, 36047032500, 36061014500, 36047029300, 36061018600, 36081008500, 36047038500, 36061031703, 36047030700, 36061006400, 36061009700, 36081003301, 36061008900, 36047002000, 36061017500, 36061016400, 36047026300, 36047004500, 36061002602, 36061011800, 36061009400, 36061012102, 36047086600, 36061015602, 36047019100, 36061011000, 36047035301, 36061002202, 36081019902, 36061010803, 36047039500, 36061000900, 36047053900, 36005002300, 36047006300, 36061013502, 36047023300, 36061019701, 36047014101, 36047013700, 36047033900, 36047016500, 36047056301, 36047025500, 36061016100, 36061001800, 36061004300, 36061002500, 36047028700, 36047054900, 36081000702, 36081018101, 36047082200, 36047039100, 36047027100, 36061021000, 36047005303, 36061013900, 36047014102, 36081008300, 36047001802, 36047008800, 36061006300, 36047007500, 36047013900, 36047079601, 36047058902, 36047000502, 36047035302, 36047049100, 36047087200, 36061007001, 36061009903, 36061003700, 36047027700, 36047042700, 36061019600, 36061031704, 36047035702, 36061003400, 36061024200, 36061020102, 36047018501, 36061003001, 36047087600, 36061013000, 36047028900, 36081007500, 36047005900, 36061016600, 36061000202, 36061015402, 36061013300, 36061005600, 36081001903, 36061015102, 36061014700, 36047018700, 36047054300, 36061002601, 36061001501, 36047000100, 36047019500, 36047042500, 36061011100, 36061004700, 36047003700, 36047081400, 36061023802, 36047017900, 36061013100, 36047000700, 36047018100, 36081018900, 36047024700, 36047028501, 36061021100, 36047050700, 36061013603, 36061019400, 36047087401, 36047034500, 36061011600, 36047001803, 36047017100, 36047080600, 36005001901, 36047004300, 36061020800, 36061015601, 36061016001, 36047033100, 36061007400, 36047049500, 36081002500, 36047002100, 36047035102, 36061001502, 36047042900, 36047088001, 36047021500, 36047015300, 36061009500, 36047038100, 36047003900, 36061006100, 36047051100, 36061006500, 36047057902, 36081007300, 36061015801, 36047031900, 36047082400, 36061018700, 36061008800, 36061022200, 36047056100, 36081003900, 36047019700, 36047020100, 36061015700, 36047053101, 36061009901, 36081017101, 36047034901, 36061008603, 36081007700, 36081005100, 36047001501, 36061008300, 36047013300, 36047056302, 36047123700, 36047049301, 36047088002, 36061005900, 36061017800, 36047087000, 36047004900, 36061007700, 36061004100, 36061014200, 36047050803, 36061022600, 36081017901, 36061021303, 36061012500, 36061005501"
344,"36061024100, 36061023900, 36061022301, 36061026500, 36061022102, 36061025300, 36005029301, 36005006302, 36061024302, 36061026700, 36061027700, 36061028500, 36061025900, 36061028100, 36061023600, 36061023300, 36061023502, 36061027900, 36061029700, 36061024500, 36061024700, 36061023501, 36061027100, 36061027300, 36061026300, 36061023200, 36061029500, 36061023700, 36005019300, 36061027500, 36005021100, 36005020501, 36061022500, 36005020100, 36061024900, 36061026100, 36061021900, 36061022900, 36061028300, 36005019900, 36061023100, 36061028700, 36061026900, 36061022700, 36061023400, 36005005902, 36061031100, 36061025500, 36061025100, 36061029100, 36061024301, 36061023000, 36061022302, 36005018900, 36005006301"
346,"36087010503, 36087011507, 36087010101, 36087010803, 36087010802, 36087010504, 36087011601, 36087010602, 36119014000, 36087010702, 36087011508, 36087010703, 36087010601, 36087010501, 36087010200, 36119014200, 36071013900, 36087010102, 36119014604, 36119984000, 36119014701, 36087010801, 36087011509, 36087010701, 36119014100"
