STATE,geoid,LOCATION,AREA_SQMI,svi
NY,36059519602,New York,3.991655410918195e-11,0.0139
NY,36065025400,New York,1.1588528295058212e-09,0.2626
NY,36067015800,New York,4.372709090202853e-09,0.1162
NY,36067016001,New York,3.41453778062333e-09,0.0432
NY,36067016002,New York,7.620629089617823e-10,0.0312
NY,36067016100,New York,6.459868052328556e-10,0.5263
NY,36059302400,New York,7.242205175763579e-11,0.3752
NY,36059302501,New York,8.974782688182348e-11,0.0335
NY,36059302502,New York,5.943268775192344e-10,0.2059
NY,36059302900,New York,7.98080411251729e-11,0.0597
NY,36059303000,New York,5.0091527721490965e-11,0.3244
NY,36081019400,New York,1.2581632706847557e-11,0.6566
NY,36081020500,New York,2.4185288352772094e-11,0.8827
NY,36081095400,New York,5.6207092859763774e-11,0.8576
NY,36081127700,New York,4.3998453603888423e-11,0.2255
NY,36081042400,New York,2.124435405198628e-11,0.6361
NY,36059303101,New York,6.305376703854742e-11,0.0378
NY,36059303102,New York,6.109739013504704e-11,0.1474
NY,36059414202,New York,3.277044354357946e-11,0.7859
NY,36059414301,New York,3.828026522319054e-11,0.7659
NY,36059414400,New York,1.1382785186021166e-10,0.9281
NY,36059414501,New York,6.668212950233134e-11,0.2411
NY,36059414502,New York,7.69580209109642e-11,0.4624
NY,36059414600,New York,6.174712509031594e-11,0.1382
NY,36059414700,New York,6.215067021341989e-11,0.0711
NY,36055990000,New York,7.726052662429307e-08,-999.0
NY,36055980100,New York,1.6278319548882633e-10,0.0145
NY,36055012401,New York,5.194534713064268e-10,0.2461
NY,36055012402,New York,3.893973692765161e-09,0.001
NY,36081062200,New York,1.7986806651716775e-11,0.4187
NY,36081079702,New York,1.1752138119863445e-11,0.8287
NY,36081990100,New York,5.368190368285508e-09,-999.0
NY,36081030600,New York,5.564826870917834e-11,0.6351
NY,36065025500,New York,3.4753100773146115e-09,0.2109
NY,36027120000,New York,3.3857647315879596e-09,0.5741
NY,36027140500,New York,3.315988843400903e-10,0.6146
NY,36075020102,New York,1.3376487623909403e-08,0.2364
