GEOID,residential_landuse,commercial_landuse,industrial_landuse,retail_landuse,natural_landuse,road_residential,road_primary,road_other,transport_point,transport_area,food_point,food_area,health_point,health_area,education_point,education_area,retail_point,retail_area
36105951701,0.4627579167790448,0.0,0.0,0.0,0.0,120.90941243447345,0.0,52.79864447283384,32,0.2400202338892808,16,0.0003464512642912323,0,0.0,1,0.295418096552331,8,0.0
36105951801,0.0,0.0,0.0,0.0,0.0,40.97895692414541,1.9369485905215085,7.213389034496216,27,0.19686139020179794,2,0.0006675639013720186,0,0.0,2,0.0,3,0.0
36105951302,0.49475749519856416,0.0,0.0,0.0,0.0,127.05712794081585,15.827798409525847,27.155203747992985,6,0.006267514468805041,0,0.0,0,0.0,0,0.0,3,0.0
36105951802,0.11916850855529305,0.0,0.0,0.0,0.0,30.384088240624088,2.4366506179286485,2.0794596349140964,17,0.021791943283674012,0,0.0,0,0.0,1,0.0,4,0.0
36105950801,0.4832046260239185,0.0,0.0,0.0,0.0,96.81254128498605,5.786991801533545,17.16376960855439,30,0.07277327504945223,4,0.0006826423824529261,0,0.0,4,1.3430726904524353,3,0.0
36105951702,6.565360082403353,0.0,0.0,0.0,0.0,66.77061336030798,15.192779093154662,57.73114964472208,5,0.011839597425146502,0,0.0,0,0.0,0,0.0,0,0.0
36105950202,0.5993608916496084,0.0,0.0,0.0,0.0,128.27522901100198,0.0,81.66446088934487,11,0.011216170495422024,7,0.0019332262068285145,1,0.0004546814824488429,0,0.0,15,0.0
36105950802,0.4336296991478191,0.0,0.0,0.0,0.0,92.63783814474266,9.102885839484063,25.300305379302596,11,0.02347810238416936,5,0.0,0,0.0,0,0.0,7,0.0
36105951201,1.308946305709976,0.0,0.02465695126937579,0.0,0.0,76.0518931932379,0.6503113957137555,41.41577239378215,29,0.23796375960937408,1,0.0002520360601572974,1,0.0,3,0.005471619718580025,12,0.0
36105951202,3.1942153712943524,0.0,0.0,0.0,0.0,40.656565234190694,0.0,22.434608317864235,1,0.0023095400527018955,1,0.0,0,0.0,0,0.0,2,0.0
36105950201,0.40953972897406166,0.0,0.0,0.0,0.0,77.97829087912204,0.0,35.672482269990496,4,0.00231343145411476,4,0.0,0,0.0,2,0.0,6,0.0
36105951000,0.1792312876938227,0.0,0.045370147400471336,0.0,0.0,60.167487279511256,3.685386012541557,35.77844582128865,31,0.053677423124764305,1,0.0,0,0.0,1,0.0,0,0.0
36105951900,0.0,0.0,0.0,0.006551542505725189,0.0,103.51112650931094,17.939163369070936,33.545065049526954,1,0.003573178238415367,2,0.001025961985605259,0,0.0,1,0.0,1,0.0
36105952200,0.0,0.0,0.0,0.0,0.0,115.04522301436899,19.3931187570931,40.119745769171345,3,0.013984146221254443,2,0.0,0,0.0,1,0.014017545117223187,1,0.0
36105952500,0.10184785655245783,0.0,0.0,0.0,0.0,160.0799090686506,21.119792532668363,39.27907543097114,3,0.008899027841317471,0,0.0,0,0.0,1,0.0,0,0.0
36105950400,0.7712010358256924,0.0,0.0,0.0,0.0,186.5250937962713,9.764162062526474,51.95488184202691,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0
36105950900,0.7242156642095081,0.0,0.0,0.0,0.0,81.76341403143849,4.4166153892623115,5.390877765793055,20,0.022585830150145512,1,0.0006741974406715779,0,0.0,2,0.0,1,0.0
36105950300,0.0,0.0,0.0,0.0,0.0,169.27880993986798,11.75868806004613,68.24224940912796,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0
36105952100,0.0,0.0,0.0,0.0,0.0,133.40300811539936,37.976316107474545,24.017525497768307,1,0.0085216657788324,10,0.0,1,0.02831739754237823,1,0.0,4,0.0
36105950100,0.0,0.0,0.0,0.0,0.0,166.8259671911215,0.0,128.46312083019205,29,0.06227732119607796,0,0.0,0,0.0,1,0.025972688770450898,1,0.0
36105951100,0.1544297580250544,0.0,0.0,0.0,0.0,97.39292794139455,3.5694757735248475,24.967910960230153,18,0.06085772883529669,0,0.0,0,0.0,2,0.10630690663215651,1,0.0
36105952300,0.0,0.0,0.0,0.0,0.0,130.556536618085,26.831282172049775,29.83790042632605,5,0.0038663229634676253,0,0.0,0,0.0,0,0.0,1,0.0
36105950600,1.1815798963120152,0.0,0.0,0.0,0.0,84.78937977444686,10.506866749831985,42.11006311166345,2,0.001575547446987802,0,0.0,0,0.0,0,0.0,0,0.0
36105952000,4.724900405931318,0.016905701814749954,0.0,0.0,0.0,201.40293585232249,20.067921694947664,60.58711910570615,8,0.18638612099239363,1,0.0,1,0.0002466914639131417,1,0.0,2,0.0
36105951500,0.11325584277949281,0.0,0.0,0.0,0.0,81.50809270378525,5.775836130691432,33.34835862964991,23,0.1114803041034923,1,0.0011437587752742568,0,0.0,0,0.0,8,0.0
36105950500,0.0,0.014404251934516197,0.0,0.0,0.0,116.22577237437874,6.048310288285122,64.64132032163454,27,0.0921825512777528,4,0.0,2,0.0,0,0.0,14,0.0
36105951600,0.13913825532913804,0.0,0.0,0.0,0.0,119.12888053249885,15.126357212637606,32.38537026246201,9,0.07877328549774522,0,0.0,2,0.22783013519079626,3,0.0,0,0.0
36105952400,0.08849558973069284,0.0,0.028029031003640036,0.0,0.0,130.86924159130285,33.51945432429681,29.568919971057596,2,0.0034258970374068066,0,0.0,0,0.0,2,0.005056886536979978,1,0.0
36105951301,6.849147874646309,0.13765795154010194,0.0,0.0,0.0,65.02879540124655,10.732883255790096,33.081094893561655,14,0.008773105347534412,2,0.0007788346394676383,0,0.0,1,0.016755270626035587,2,0.0
