geoid,residential_landuse,commercial_landuse,industrial_landuse,retail_landuse,natural_landuse,road_residential,road_primary,road_other,transport_point,transport_area,food_point,food_area,health_point,health_area,education_point,education_area,retail_point,retail_area,total_population
36089491800,0.0,0.0,0.0,0.0,0.0,268.99869070610805,36.28317311237159,199.3454050546016,0,0.0,2,0.0,0,0.0,4,0.0118907124857528,3,0.0,4472
36089491500,1.75359721021224,0.1776856419844807,0.1174858140920761,0.0545011646999026,0.0,23.979441842269814,3.1092936473331942,3.93374799415576,6,0.0354099900698565,3,0.0,3,0.0066788742984026,3,0.1408895733144329,4,0.0,3419
36089490300,2.0150570367223235,0.3961262166369468,2.415079278629928,0.986414656644354,0.0,75.63822827323192,38.438574595995256,54.7619272334673,91,0.3165096798865338,8,0.0005170860659747,2,0.0021292762405899,3,0.0592040285789924,29,0.0,5469
36089491600,1.314786861856956,0.0484773142087506,0.145445054293205,0.0078254900823368,0.0,24.093661690050148,2.95539114262367,2.0223582836994907,8,0.0280716530532286,1,0.0,1,0.0418986704140717,3,0.0402547731516323,0,0.0,2050
36089492100,0.992294578007228,0.0,0.0,0.0034203864142006,0.0,84.8601567342589,30.675859840570023,60.01222551577245,33,0.1473075462617212,1,0.0,0,0.0,2,2.6674666693821427,4,0.0,4491
36089490500,0.0,0.0,0.0,0.0,0.0,251.67277512059923,36.32467024334595,70.74129166409932,3,0.0107209173769586,0,0.0,0,0.0,1,0.0,1,0.0,3979
36089492700,0.0,0.0,0.053405089967807,0.0,0.0,163.70997877659846,23.825794564519924,54.2748993126698,3,0.0513647241228017,3,0.0,3,0.0249397720347213,6,0.0,15,0.0,6551
36089492800,0.3497830538549922,0.0082392616864833,0.0233558095668675,0.0,0.0,255.0134732792096,31.76419360294137,78.95975604213379,4,0.0159418234934926,0,0.0,0,0.0,2,0.0682187368542333,1,0.0,2994
36089492600,0.0,0.0,0.0065090894126475,0.0,0.0,417.9260044753573,65.6969369767051,179.3511040378491,3,0.0045191145569191,0,0.0,0,0.0,2,0.0484806546917598,6,0.0,5813
36089490200,2.8682348070817207,0.2110968480270346,0.3276591010168882,0.0219285435736603,0.0,37.18829906520776,8.445085961971083,1.9148484522004088,37,0.0576499728681072,6,0.0004793446041179,3,0.042634311383287,5,0.3879870562863161,5,0.0,3633
36089491200,0.0041886116353205,0.0,0.0,0.0,0.0,4.996795657039456,0.9742475046372742,0.0,23,0.1017762752330367,0,0.0,0,0.0,35,1.0752346140114262,0,0.0,1546
36089491400,2.478732424250437,0.1812701592772007,0.9936699468199868,0.3164783819000742,0.0,37.832915291278304,10.543634277785545,18.96427581439217,30,0.1558458926687492,2,0.0,1,1.8339786023997184,4,0.0895749197410311,5,0.0,4595
36089492301,5.778731231975299,0.0,0.2056643018876209,0.0,0.0,220.85578611159664,20.56713134655841,47.64757153297412,14,0.0363741130798519,1,0.0001967860872091,0,0.0,2,0.0805909104492221,1,0.0,3421
36089493000,0.0440790086647239,0.0,0.102316702115155,0.0,0.0,576.8241266729112,78.8921284496654,218.53299877584203,11,0.0060735571792706,1,0.0,1,0.0,0,0.0,3,0.0,1082
36089492501,0.0,0.0,0.0001294189747918,0.0,0.0,321.31294362698134,61.74615487822936,179.33091335910632,17,0.0086196308854043,0,0.0,1,0.0229514171666509,1,0.0036550947179365,2,0.0,2085
36089492302,3.2817212008963725,0.0042683908999249,0.0590866394724875,0.0,0.0,160.8617216254599,20.29370324997833,38.295706823890086,1,0.0035190316901408,0,0.0,0,0.0,0,0.0,2,0.0,2523
36089492401,0.0954568127760911,0.0,0.0,0.0,0.0,151.76664678099283,26.39713323274168,44.30572239547577,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,2167
36089491900,1.5809877496473393e-05,0.0,0.0,0.0,0.0,0.7612224852985238,0.5596486502242007,1.0936214480248017,9,0.0539757377077081,1,0.0005281358434717,1,0.0,1,3.1303806444113005,0,0.0,1529
36089490700,8.861600414302256,0.1157086201855602,0.0265025018132601,0.0,0.0,349.99246438086664,45.48145350002473,115.14886149310476,3,0.0051320648279032,0,0.0,0,0.0,0,0.0,2,0.0,6443
36089490100,1.7718394692437305,0.0315812235000403,8.912299003411663,0.020938930646439,0.0,62.61493094257612,11.197690187933867,18.671448761986497,10,0.1023442989867396,1,0.0,0,0.0,1,0.0,0,0.0,3331
36089491700,0.0793331237232859,0.0,0.1860467174672713,0.0777165887042655,0.0,179.1492584636983,44.11449438991528,24.37731517305194,3,0.0221424065442466,0,0.0,0,0.0,3,0.0803158951321117,2,0.0,4158
36089491300,0.0,0.0,0.0069189416670393,0.0,0.0,245.86615461519312,32.282541305606586,67.12619258433924,0,0.0,0,0.0,1,0.0007154135152881,1,0.0,0,0.0,4221
36089491000,10.298318712462104,0.8387313904896937,1.2836891942157056,0.1974310187969536,0.0,166.97195211444964,27.05367541395604,49.62082846489519,4,0.031990317526021,3,0.0063942349341225,0,0.0,1,0.0,19,0.0,4456
36117020202,0.0,0.0,0.0,0.0,0.0,46.65245361244182,0.0,37.45172507548762,3,0.0027437705281044,0,0.0,0,0.0,0,0.0,0,0.0,4531
36117020201,0.2033773402673947,0.0,0.0,0.0417717874064976,0.0,54.55219778803784,0.0,28.522251637287876,14,0.035780372316584,3,0.0093748816712595,0,0.0,1,0.0686406827164328,2,0.0,4722
36117021800,0.0259135460652115,0.0,0.216213600484735,0.0,0.0,24.87003759692367,6.509596247326923,0.0119727353049375,13,0.0290824569416244,0,0.0,0,0.0,3,0.0192771460515327,0,0.0,2171
36117020900,0.3230276016376624,0.0,0.1349563841901647,0.0,0.0,106.59390106655204,26.24018532647756,64.36185526721272,4,0.008398992443499,1,0.0006657116266173,0,0.0,4,0.3341438847326231,2,0.0,5119
36117021501,0.0559650375042605,0.0,0.3017538791024023,0.0,0.0,95.12567532872396,13.990256308999838,80.40640599263065,2,0.006439883826681,1,0.0,0,0.0,0,0.0,0,0.0,1872
36117021200,1.5525529167149363,0.0474563136303804,0.0,0.1658672433811211,0.0,27.2272315358545,6.14618820872786,21.395582203509893,4,0.0517193122647009,1,0.0,0,0.0,1,0.0,2,0.0,4533
36117020401,0.0,0.0,0.5351935126623302,0.0,0.0,42.70366632036431,0.0,40.71939144719381,2,0.0093926372926298,2,0.0015343796842932,0,0.0,0,0.0,0,0.0,2897
36117021000,0.2294600990126871,0.0,0.1615680176003601,0.0,0.0,215.32270358241436,38.757243765070726,139.06094431749642,3,0.0108480828932657,0,0.0,0,0.0,0,0.0,0,0.0,6121
36117021502,0.2457343315493798,0.0,0.135821131581147,0.0,0.0,121.84755115746796,10.517161132402068,75.02768417565008,7,0.0512021929265248,0,0.0,0,0.0,4,0.4051845595458192,6,0.0,4002
36117021100,1.7425906896418637,0.3002053103570267,0.0,0.0,0.0,32.897813173226155,6.169435490422658,18.13507887922397,14,0.0190860696009011,2,0.0007649990973659,3,0.2054406940510663,5,0.3629699529545727,5,0.0,5084
36117990100,0.0,0.0,0.0,0.0,0.0,0.0029483718340034,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
36117021700,0.0,0.0,0.0,0.0,0.0,225.46107903522704,45.95038545883037,102.11648497586128,1,0.0018639225815512,0,0.0,0,0.0,1,0.0629455380888333,0,0.0,3876
36117020800,0.163459845791679,0.0,0.0,0.0,0.0,98.6548120640846,9.361937231813542,45.90045171409923,14,0.0507304387860107,6,0.0002007148413142,0,0.0,0,0.0,3,0.0,2909
36117021600,0.0,0.0,0.0736506150594712,0.0,0.0,182.10621093413852,29.405733411861316,104.03373004126423,7,0.0470630169278025,0,0.0,1,0.0,3,0.1323699245780718,3,0.0,4126
36117021400,0.0,0.0,0.2760791466433344,0.0,0.0,35.73587106470702,7.908862630588288,5.460003398937169,16,0.0123390092191657,1,0.0,1,0.0016290105679627,0,0.0,3,0.0,3672
36117020700,0.0,0.0,0.0,0.0,0.0,23.28638849810182,6.389505655955672,0.5190381942597241,12,0.0586947949233661,3,0.0,0,0.0,3,0.0319983080245811,7,0.0,3433
36117020402,0.291225866449912,0.0,0.1112845958403211,0.0,0.0,42.905712204559066,23.85975709483176,22.9878094511448,36,0.0818230640623427,3,0.0013588480497182,1,0.0,3,0.3431666782473074,6,0.0,3963
