origin,destination,flow
53001950400,53021020605,915.0644447284045
53001950400,53021020606,527.0396430306222
53001950400,53005010809,1285.4288191106327
53001950400,53025010401,233.65737381566913
53001950400,53075000400,227.10101434654422
53001950400,53063014001,275.1106029086921
53001950400,53025010904,2339.5460035345336
53001950400,53025011002,1021.7697563668601
53001950400,53005011702,194.7213777238973
53001950400,53005010901,939.9338326276691
53001950400,53025010700,180.02410995048533
53001950400,53033028402,524.0645193435981
53001950400,53005011300,165.44529893805134
53001950400,53063000400,198.00819688211718
53001950400,53021020202,339.33999107459323
53001950400,53025011102,285.5993442002137
53001950400,53021020102,394.87733314222675
53001950400,53001950500,5236.948473479799
53001950400,53021020404,85.22976978567449
53001950400,53001950400,2931.090095009715
53001950500,53021980100,286.09894360592295
53001950500,53005010819,1729.5981590721708
53001950500,53005010817,2405.2993176310406
53001950500,53063010902,233.77850152529717
53001950500,53021020605,1161.3011141881707
53001950500,53021020606,206.10762518474831
53001950500,53067012331,198.33997192623173
53001950500,53005010809,4074.7237355910906
53001950500,53005010500,804.5753050887503
53001950500,53063013700,185.31532908293914
53001950500,53005011100,180.91464408862063
53001950500,53025011406,176.75339359162874
53001950500,53005010600,173.8450965211286
53001950500,53025011200,169.8361331542592
53001950500,53077001801,166.08734790373987
53001950500,53025010904,2381.6827221420567
53001950500,53025011002,3006.515351323419
53001950500,53063003200,156.02783212058108
53001950500,53033005303,154.00435927230743
53001950500,53033029203,151.5143546775666
53001950500,53061041202,297.5789241286411
53001950500,53071920600,144.24080578773967
53001950500,53053061601,141.68363063554577
53001950500,53005010901,839.3347008776936
53001950500,53077002005,135.73322745153112
53001950500,53021020300,266.7916818551582
53001950500,53025010800,128.6458776252616
53001950500,53077940005,124.5378238739229
53001950500,53025011300,304.53068846100854
53001950500,53063010401,261.6550869858819
53001950500,53077002701,109.68874753714569
53001950500,53077940002,104.78821355780637
53001950500,53025011102,803.1014446807253
53001950500,53001950400,7852.712694065125
53001950500,53077002003,87.0728329134287
53001950500,53021020102,144.4618947353557
53001950500,53001950500,3706.1224871363606
53003960100,53071920400,473.75129039913577
53003960100,53063014500,140.63491378164454
53003960100,53077002003,129.041664090069
53003960100,53003960400,121.52977882351277
53003960100,53063011203,115.76919297723592
53003960100,53063000400,110.49019382121745
53003960100,53063011702,105.2717379749024
53003960100,53063002000,100.69303738264608
53003960100,53003960300,9497.303354264699
53003960100,53063003500,95.73706701996538
53003960100,53003960500,1670.7870663948615
53003960100,53063003900,91.8130396732545
53003960100,53063002501,90.06172979949852
53003960100,53071920702,87.66757330754172
53003960100,53033009300,85.32401117790387
53003960100,53075000201,124.37557606822612
53003960100,53075000400,159.96587154923648
53003960100,53005010600,76.65874334423324
53003960100,53063013700,73.60564100675332
53003960100,53075000602,141.08304932100864
53003960100,53071920801,166.3893515427124
53003960100,53003960600,447.13599988958686
53003960100,53063000900,54.38906476856431
53003960100,53063001100,44.163874054256596
53003960100,53003960100,631.3571775673347
53003960300,53005010817,455.93778713595225
53003960300,53063010902,176.3997151292487
53003960300,53003960100,332.49889554811466
53003960300,53005010815,151.7567085052438
53003960300,53063011701,142.70181722485083
53003960300,53003960600,312.8201208300392
53003960300,53005010809,326.77388941892275
53003960300,53077002005,121.72995089863498
53003960300,53075000400,233.45187623802528
53003960300,53063002501,219.4020431456579
53003960300,53003960500,1959.6954203615057
53003960300,53063003200,94.29196510979772
53003960300,53063012901,85.271938681141
53003960300,53063003500,73.13828726120383
53003960300,53003960300,4194.129584511661
53003960400,53003960100,170.09596520197218
53003960400,53003960600,288.3417579357149
53003960400,53075000400,258.44327385297765
53003960400,53003960500,499.29108224263365
53003960400,53003960300,4636.489277995664
53003960400,53033028802,88.11078405238968
53003960400,53003960400,352.22785871864767
53003960500,53003960100,219.67214190597443
53003960500,53037975201,192.10920176997428
53003960500,53003960600,1390.8301305936582
53003960500,53071920801,166.90400733588226
53003960500,53001950500,155.97369541770266
53003960500,53003960400,635.2911871910856
53003960500,53035092200,140.55463655776947
53003960500,53013960200,395.3939555195
