region_index,census_tracts_geoids
441,"36019103200,36019101902,36019103100,36019103000,36019101000,36019102200,36019102100"
322,"36071011802,36071011801,36071011701,36071014501,36071011702,36071011500,36071015100,36071011400,36071001200,36071001300,36071001500,36071011301,36071001601,36071001602"
370,"36093033500,36001014613,36001014700,36001014612,36093033003,36093032403,36093032602,36093021200,36093033200,36093033300,36093032200,36093032300,36093032404,36093032601,36093032700,36001014606,36093033002,36093033004,36093033101,36093033102"
496,"36103190403,36103190606,36103169905,36103170005,36103190713,36103170204,36103170006,36103190710,36103170003,36103170004,36103190802,36103190709,36103190801,36103190604,36103190603,36103190706"
425,"36059518201,36103111506,36103111601,36103111602,36103111701,36103111703,36103111704,36103111802,36103110200,36103110300,36103110401,36103110402,36103110501,36103135101,36103110502,36103110801,36103110803,36103110901,36103110902,36103111001,36103135102,36103111002,36103111201,36103111202,36103111300,36103111401,36103111402,36103111503,36103111504,36103111804,36103112103,36103111103,36103110601,36103110104,36103110103,36103110602,36103111102,36103111101,36103111508,36103111507,36103111803,36103111801,36103110101,36103134703"
402,"36059416600,36059416201,36059416500,36059416701,36059416702,36059416300,36059411600,36059416401,36059416402,36059416801,36059416802,36059990400"
354,36041950300
104,"36055980100,36055003700,36055005500,36055005600,36055005700,36055005800,36055005900,36055006000,36055012500,36055012600,36055012700,36055012800,36055012900,36055011207,36055011503,36055011504,36055011505,36055011601,36055007600,36055007700,36055007802,36055008200,36055008301,36055008400,36055011901,36055012000,36055010500,36055010601,36055010700,36055010800,36055010901,36055011603,36055011605,36055011100,36055011201,36055011203,36055011205,36055011302,36055012100,36055001000,36055002900,36055006100,36055012201,36055005400,36055010902,36055011604,36055007801,36055011000,36055011304,36055011507,36055013003,36055011401,36055011209,36055011506,36055011402,36055011710,36055003102,36055011303,36055011403,36055003101,36055011210"
74,"36003951000,36003950700,36003951100"
9,36013990000
386,"36027140500,36027190204,36027050102,36027050205,36027140801,36027140700,36027080103,36027140400,36027190203,36027220300,36027221100,36027220700,36027220901,36027221001,36027220801,36027300000,36027080104,36027050204,36027060301,36027190102,36027050103,36027080201,36027050203,36027060201,36027140202,36027140201,36027220102,36027140301,36027140302,36027220101,36027190301,36027060400,36027640002,36027050104,36027140101,36027140602,36027190101,36027410000,36027080202,36027190402,36027190401,36027640001,36027020003,36027220201"
88,"36051031300,36051031400,36101960400,36101960500"
379,36033950601
248,"36065025002,36065025601,36065025602,36065025700,36065024900,36065025001,36065025003,36065025200"
34,"36029015301,36029015302,36029013202,36029013400,36029013501,36029013600,36029013701,36029012903,36029017301,36029000200,36029001900,36029013101,36029012001,36029012002,36029012003,36029012300,36029012400,36029012502,36029016400,36029013300,36029013201,36029000110,36029012800,36029012902,36029013001,36029011000,36029011300,36029011500,36029011600,36029011700,36029011800,36029010808,36029010809,36029000800,36029012501,36029013002,36029000600,36029000500,36029000700,36029000900,36029001000,36029001100,36029015202,36029011400,36029016300,36029017400,36029016200,36029012904,36029011202,36029013104,36029013103"
408,"36027170000,36027010000,36027200001,36027100000,36027200002"
255,"36089491800,36089491600,36089491700"
421,"36019104200,36019100700,36019100600"
90,"36055012401,36055014602,36051030204,36055014700,36055014601,36051030100,36051030600,36051030300,36055013103,36055013104,36055013206,36055013205,36055013203,36055013005,36055013208,36055013207,36055013006,36055013300"
376,36031960502
23,"36009960500,36013036100"
287,"36043011100,36043011200,36043011301,36043010300,36043010501,36043010201,36043010400,36043010502,36043010100"
231,36065024400
199,"36045060401,36045060203,36045060302,36045060202"
181,36045990001
144,"36097950100,36099950900,36099951000"
163,"36075021201,36075021601,36075021401,36075021505,36075021402,36075021602,36075021603,36075021604,36075021605"
212,"36075020600,36053030403,36053030404,36065026700"
516,"36103201006,36103201007"
394,"36113073000,36113071000,36091060501"
235,36089492900
309,"36043011001,36043011002"
233,"36045061000,36049950302,36045061101,36045060902"
294,"36089490900,36089490800,36089491100,36089491200,36089492301,36089492302"
117,"36117020700,36117020303,36117020601,36117020602,36117020302,36069050303,36069050304,36069050204,36069051102,36069050604,36069050205,36069051001,36069050603,36069051101,36069050206,36069051200,36069050800,36069050302,36069050900"
296,36089490200
56,"36073040400,36073040500,36073040200,36073040300,36063024002"
324,"36111954600,36105950802,36105950100"
147,"36117021501,36117021502,36117021600"
230,"36065024700,36053030200"
215,"36045062200,36045061400,36045061900,36045061500,36045062400,36045062100,36045061200,36045061300,36045061802,36045061102"
347,"36039080302,36039080301,36039080402"
47,36063024102
200,36045060201
373,36113073500
2,36013036600
378,36033950800
416,"36113078000,36113076000"
41,"36009940302,36009961301,36009961100"
384,"36119011601,36119011602,36119012202,36119012201,36119013402,36119011401,36119013401,36119012000,36119012102,36119012301,36119013800,36119012900,36119013103,36119013500,36119013600,36119013900,36119013301,36119014000,36087013200,36087010901,36087011000,36087010703,36087010902,36087011101,36087011102,36119982000,36119014607,36119010901,36119011000,36119011500,36119014500,36087013102,36087013003,36087013101,36119013104,36119013202,36119014809,36119011800,36119014604,36119014805,36119014606,36119013201,36119012101,36119011902,36119013102,36119013700,36119011700,36119013304,36119014100,36119014605,36119981000,36119984000"
42,"36009960704,36009960703,36009960800"
26,"36063021200,36063021700,36063022000,36063022100,36063022200,36063022300,36029007303,36063021300,36063020300,36063020500,36063020900,36063021100,36063021000,36063021400,36029007305,36029007306"
132,"36117020900,36117020800"
198,"36045061600,36045061700,36045061801,36045060402"
465,"36103158709,36103158205,36103158304,36103158315,36103158317,36103158319,36103158401,36103158402,36103158116,36103158309,36103158705,36103158320,36103158403,36103158407,36103158408,36103158306,36103158509,36103158510,36103158326,36103158325,36103158329,36103158411,36103158412,36103158328,36103159414,36103158713,36103158324,36103158714,36103158715,36103158410,36103158409,36103158322,36103158711,36103158710,36103158318,36103158708,36103158707,36103158112,36103159407,36103158310"
325,"36025971200,36111950900"
8,"36013036401,36013036300,36013036500"
210,"36067016902,36023970100"
245,"36025970502,36025970402,36077591602,36017970801,36017970901"
508,"36103190708,36103201010,36103201009,36103190711,36103190712,36103200906,36103190714,36103200903,36103200905,36103200904,36103201005,36103200901"
497,"36103170101,36103170205,36103170203"
91,"36055980200,36055013511,36055008600,36055008702,36055009200,36055003600,36055003900,36055004000,36055004100,36055004602,36055004701,36055004900,36055005000,36055005100,36055005200,36055009301,36055009302,36055009601,36055009602,36055006200,36055006300,36055006400,36055006500,36055014505,36055014802,36055014803,36055014901,36055013508,36055014906,36055013507,36055014905,36055013402,36055013503,36055013505,36055013601,36055013603,36055013604,36055013701,36055013702,36055013800,36055013901,36055014001,36055014004,36055014103,36055014104,36055014202,36055014204,36055014301,36055014302,36055014400,36055014501,36055014503,36055014504,36055980000,36055006600,36055006700,36055006800,36055007000,36055007900,36055006900,36055008000,36055008100,36055008500,36055010100,36055010200,36055010300,36055010400,36055010602,36055014003,36055000200,36055003300,36055013902,36055007100,36055004800,36055000700,36055001300,36055001800,36055001900,36055002000,36055002200,36055002300,36055002400,36055002700,36055003200,36055003400,36055003500,36055014102,36055002100,36055013401,36055009500,36055007500,36055004702,36055003000,36055009403,36055013510,36055013509,36055008801,36055009404,36055009401,36055003807,36055014805,36055009402,36055014205,36055014206,36055003806,36055014806,36055009605,36055001600"
115,"36101960100,36123150302,36101960200"
431,36021000200
481,"36103190504,36103159602,36103190502,36103159604,36103190605,36103190503,36103159406"
64,"36121971100,36003950300"
369,"36001014801,36001014802,36001014803"
177,"36067016001,36067016002,36067012700,36067016502,36067016600,36067016700,36067012600,36067012000,36067012200,36067012500,36067016400,36067016501,36067012100,36067012300,36067012400"
78,"36037951100,36037950100,36037951200,36055015000"
263,"36025970501,36025970601"
159,"36109000500,36109000800,36109000300,36109000700,36109001700,36109001500,36109000100,36109000600,36109000900,36109001600,36109002300,36109000400,36109001301,36109000201,36109000202"
178,"36075021003,36075020903,36075020904,36075021203,36075020905,36067011402,36067011900,36067011202,36075020901,36075021103,36075021104,36075021102,36067011800,36067011700,36067013400,36067011201,36067011401,36067011500,36067011600,36075021101"
377,"36031960401,36031960501,36031960402"
348,"36095740700,36095740800"
334,36033951200
254,36089492700
331,36041950500
336,36033950701
133,36117990100
282,"36105950201,36105950400,36105950300,36105952100"
217,"36045060102,36045060101"
236,36089492800
